Fault,HorizontalRadius,VerticalRadius,InfluenceDistance
MITCHELL FAULT,3137.443014588649,6274.886029177298,1568.7215072943245
NUBLET THRUST,4157.495435205835,8314.99087041167,2078.7477176029174
SIMPSON PASS THRUST,4095.733510041359,8191.467020082718,2047.8667550206794
MITCHELL FAULT,3183.2058896708936,6366.411779341787,1591.6029448354468
