X,Y,id,left_fm,right_fm,min_offset,strat_offset
592247.2066181267,5646165.646914566,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592294.7394655303,5646238.4316320885,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592336.3307234223,5646339.438947234,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592373.4656990825,5646428.562999265,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592429.9109512044,5646490.949873159,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592511.6080681124,5646565.219883915,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592568.0532960817,5646621.665166207,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592588.8488868875,5646629.092243759,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592611.1299027861,5646614.238209803,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592633.4109550973,5646554.822154109,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592633.4109527397,5646453.814826261,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592591.8197051031,5646346.8659025105,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592571.0241198718,5646223.577569068,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592648.2649778754,5646009.679786082,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592776.009477726,5645749.7346306965,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592888.8999571818,5645518.012037245,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
592995.8488677363,5645278.862380972,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
593110.2247432395,5645001.092304079,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
593205.2904082472,5644799.077753843,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
593307.7831368089,5644706.982953254,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
593422.1590694094,5644610.431838367,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
593576.6408221785,5644396.534014575,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
593730.4510808778,5644154.622885153,NUBLET THRUST,CmOd_SP,CmOd_SP,0.0,000
593810.3464914904,5644026.27287342,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
593895.6203432132,5643917.18377268,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
593995.4906744338,5643776.59707726,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594106.1162818515,5643602.208057404,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594239.0206200519,5643411.686161276,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594357.328570551,5643261.880732905,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594451.8213127787,5643158.169193321,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594532.4858414871,5643065.981177315,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594584.725674123,5642986.0849640565,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594612.3820599514,5642913.102810338,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594621.6008637405,5642833.974767251,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594610.077373139,5642744.859664379,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594602.3950850853,5642641.916430032,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594612.3821444656,5642518.999112943,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594638.5020253906,5642402.227639327,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594691.5101021946,5642300.820856266,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594759.8829056364,5642207.096458068,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594843.6203055793,5642127.200219877,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594914.3429966271,5642077.331069114,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594965.8146538307,5642048.138202853,NUBLET THRUST,Dv_A,CmOd_SP,3515.5,010
595001.1118246887,5642029.904810429,NUBLET THRUST,Dv_A,CmOd_SP,3515.5,010
595040.2274721997,5642020.7010999415,NUBLET THRUST,Dv_MH,CmOd_SP,3557.5,011
595087.0859988859,5642009.675548678,NUBLET THRUST,Dv_MH,CmOd_SP,3557.5,011
595128.364843029,5642003.699858463,NUBLET THRUST,Dv_MH,CmOd_SP,3557.5,011
595188.2870220344,5641997.554044493,NUBLET THRUST,Dv_Ss,CmOd_SP,5112.5,013
595266.9168243147,5641984.308758566,NUBLET THRUST,Dv_Ss,CmOd_SP,5112.5,013
595331.4476127338,5641965.772406314,NUBLET THRUST,Dv_Ss,CmOd_SP,5112.5,013
595379.078069383,5641942.725412402,NUBLET THRUST,Dv_Pa,CmOd_SP,5228.5,014
595424.9130668145,5641919.930394683,NUBLET THRUST,Dv_Pa,CmOd_SP,5228.5,014
595458.7153100863,5641902.261031755,NUBLET THRUST,Dv_Pa,CmOd_SP,5228.5,014
595492.0092072559,5641863.696093556,NUBLET THRUST,Dv_Pa,CmOd_SP,5228.5,014
595507.3739299867,5641809.919810016,NUBLET THRUST,Dv_Pa,CmOd_SP,5228.5,014
595489.2219971418,5641760.701603623,NUBLET THRUST,Dv_Pa,CmOd_SP,5228.5,014
595467.7114250221,5641731.508720053,NUBLET THRUST,Dv_Ss,CmOd_SP,5112.5,013
595430.5505437728,5641710.049466766,NUBLET THRUST,Dv_Ss,CmOd_SP,5112.5,013
595360.5301400113,5641684.947950875,NUBLET THRUST,Dv_Ss,CmOd_SP,5112.5,013
595319.8137293677,5641675.729127763,NUBLET THRUST,Dv_MH,CmOd_SP,3557.5,011
595281.7691910816,5641681.848180803,NUBLET THRUST,Dv_MH,CmOd_SP,3557.5,011
595245.6622610627,5641689.530554557,NUBLET THRUST,Dv_MH,CmOd_SP,3557.5,011
595220.1975632121,5641699.116518863,NUBLET THRUST,Dv_MH,CmOd_SP,3557.5,011
595191.0047168694,5641710.640037002,NUBLET THRUST,Dv_MH,CmOd_SP,3557.5,011
