x,y,formation,app_th,thickness,norm_th
589823.1044000003,5640211.7651,Cm_G,775.5875757674389,322,0.8632707774798928
589917.0857000003,5640218.050000003,Cm_G,806.8168172979126,335,0.8981233243967829
590011.1967000002,5640225.18945,Cm_G,997.4204620357166,407,1.0911528150134049
590104.6882499998,5640232.948450001,Cm_G,1133.0392163229415,462,1.2386058981233243
590196.7341499996,5640242.1531,Cm_G,1245.0814974419632,508,1.3619302949061662
590288.9505500009,5640250.905950001,Cm_G,1279.0772401794306,522,1.3994638069705094
590382.7010499993,5640255.593450001,Cm_G,1313.183260558604,536,1.4369973190348526
590474.4827999999,5640260.14035,Cm_G,1306.138107080506,534,1.4316353887399464
590561.9519499997,5640263.234099999,Cm_G,1323.8165189126992,541,1.450402144772118
590651.9524499996,5640256.202849999,Cm_G,1299.1782407798994,531,1.4235924932975872
590748.2810999993,5640240.312200001,Cm_G,1309.844604314287,536,1.4369973190348526
590836.4533999999,5640216.686999999,Cm_G,1333.31115458841,545,1.4611260053619304
590921.8412999997,5640185.9743,Cm_G,1342.1704200470508,549,1.4718498659517427
591006.4095500004,5640143.52145,Cm_G,1329.0114838009144,551,1.477211796246649
591083.5528500003,5640096.5122500025,Cm_G,1335.82436232983,554,1.4852546916890081
591152.0174499996,5640032.5798,Cm_G,1318.1238097752655,547,1.4664879356568365
591219.5178500004,5639971.3232499985,Cm_G,1321.182633090773,552,1.479892761394102
591272.7797999996,5639895.005649999,Cm_G,1325.3737604798316,554,1.4852546916890081
591322.5856999988,5639814.08635,Cm_G,1337.8458617870185,559,1.4986595174262736
591368.018600001,5639726.465750001,Cm_G,1312.3827642099855,549,1.4718498659517427
591413.4515500002,5639638.84505,Cm_G,1284.742603445987,537,1.4396782841823057
591464.4879000001,5639556.449250001,Cm_G,669.3081920963876,280,0.7506702412868632
591518.1014499993,5639478.401899999,Cm_G,664.5375352813687,279,0.7479892761394102
591571.8907500008,5639402.464,Cm_G,671.1273751394427,281,0.7533512064343163
591628.2565500005,5639323.2716,Cm_G,680.2133502304082,285,0.7640750670241286
591690.3327500008,5639250.7992,Cm_G,863.7211703839665,362,0.9705093833780161
591764.7238,5639203.6193,Cm_G,1222.9016982290534,513,1.3753351206434317
591841.3648499993,5639168.7441,Cm_G,1291.1339493587175,542,1.4530831099195711
591927.4278000008,5639151.025250001,Cm_G,1123.3069330464614,471,1.262734584450402
592024.0376499994,5639153.415850001,Cm_G,995.9062783161064,424,1.1367292225201073
592119.3819500003,5639172.11905,Cm_G,1202.6712453427642,512,1.3726541554959786
592207.7651000004,5639214.095900001,Cm_G,1491.1597994906192,634,1.6997319034852547
592266.4061000003,5639278.853999998,Cm_G,4962.2588165558755,2112,5.662198391420912
592266.4061000003,5639278.853999998,Cm_G,1449.0973041274497,616,1.6514745308310992
592307.8403999987,5639354.49055,Cm_G,4004.2077235909987,1704,4.568364611260054
592307.8403999987,5639354.49055,Cm_G,1343.323626284839,571,1.5308310991957104
592335.5938999997,5639442.9642,Cm_G,4324.8712646796885,1841,4.935656836461126
592335.5938999997,5639442.9642,Cm_G,1404.9575115254252,598,1.6032171581769437
592341.9220999997,5639535.7772,Cm_G,4310.268731842466,1869,5.010723860589812
592341.9220999997,5639535.7772,Cm_G,1564.69910087647,678,1.8176943699731904
592350.3596999993,5639627.008199999,Cm_G,4227.414117447298,1833,4.914209115281501
592350.3596999993,5639627.008199999,Cm_G,1590.4327065219306,689,1.8471849865951742
592360.9065999999,5639716.6571,Cm_G,4128.8378101161825,1790,4.798927613941019
592360.9065999999,5639716.6571,Cm_G,1695.3908899485346,735,1.970509383378016
592381.821999999,5639813.2426499985,Cm_G,3942.180318191779,1709,4.581769436997319
592381.821999999,5639813.2426499985,Cm_G,1617.708833269372,701,1.8793565683646112
592403.8894499993,5639910.59895,Cm_G,3914.8093784337434,1697,4.549597855227882
592403.8894499993,5639910.59895,Cm_G,1696.5246663241296,735,1.970509383378016
592430.0944500008,5640002.1625,Cm_G,3942.837636336722,1709,4.581769436997319
592430.0944500008,5640002.1625,Cm_G,1489.3900342368586,645,1.7292225201072386
592485.9931500009,5640062.279950001,Cm_G,1887.3353202370147,843,2.260053619302949
592572.2670499997,5640075.674600001,Cm_G,2008.2558844703947,897,2.4048257372654156
592663.4227000007,5640075.29795,Cm_G,1971.5031641306891,880,2.359249329758713
592758.6464000004,5640062.0389,Cm_G,2000.4435337234381,893,2.3941018766756033
592850.4107000006,5640045.657950001,Cm_G,1997.646408173156,892,2.39142091152815
592940.6923500004,5640027.939099999,Cm_G,1994.5744388981989,890,2.386058981233244
593029.7928000003,5640006.3812000025,Cm_G,1996.397974750344,917,2.4584450402144773
593119.3714000002,5639986.060799999,Cm_G,1874.4940674927054,861,2.3083109919571045
593217.809399999,5639991.685799999,Cm_G,1768.29934573605,812,2.1769436997319036
593312.26975,5640013.94485,Cm_G,1105.881073896857,508,1.3619302949061662
593404.1033500002,5640046.0376499975,Cm_G,781.4543607049449,359,0.9624664879356568
593493.7521999998,5640086.11595,Cm_G,758.7113475323247,360,0.9651474530831099
593583.4874499997,5640113.5955500025,Cm_G,756.046484243277,359,0.9624664879356568
593673.2322499997,5640139.6752,Cm_G,746.9883691120198,355,0.9517426273458445
593765.1247500004,5640167.1867,Cm_G,734.0594121890342,349,0.935656836461126
593857.9376999999,5640195.311899997,Cm_G,689.9337702156088,328,0.8793565683646113
593949.9069499989,5640233.562050003,Cm_G,591.524372068347,281,0.7533512064343163
594041.1379000008,5640273.0076,Cm_G,545.1078334536463,269,0.7211796246648794
594126.5680000004,5640313.0858999975,Cm_G,485.2221010440088,239,0.6407506702412868
594210.7037500006,5640354.986000001,Cm_G,385.2693168032776,190,0.5093833780160858
594293.5450999998,5640398.707800001,Cm_G,409.24766816793715,202,0.5415549597855228
594379.0615000001,5640439.121750001,Cm_G,422.4431688943538,208,0.5576407506702413
594470.8197999995,5640471.81725,Cm_G,2459.845800757651,1214,3.254691689008043
594553.8662999998,5640502.88845,Cm_G,2553.083186654317,1315,3.525469168900804
594642.6292999997,5640523.8135,Cm_G,2195.7327346301145,953,2.5549597855227884
594736.2860500005,5640527.1886,Cm_G,1087.8528754776455,472,1.2654155495978552
594817.2864499995,5640504.1963,Cm_G,536.6841499297968,276,0.739946380697051
594895.4181,5640458.0007500015,Cm_G,667.7051563473708,344,0.9222520107238605
594973.3809999996,5640409.738,Cm_G,800.9883228391113,435,1.1662198391420913
595038.8376999998,5640361.915050001,Cm_G,792.4284632682097,431,1.155495978552279
595102.7164999994,5640303.232099999,Cm_G,719.5354187055084,391,1.0482573726541555
595165.3954000007,5640226.0888,Cm_G,791.8786111049843,430,1.1528150134048258
595214.1884999999,5640143.9553999975,Cm_G,768.7107134885266,418,1.1206434316353888
595256.3761999995,5640057.72365,Cm_G,781.1539580136532,425,1.1394101876675604
595298.0014499994,5639971.09825,Cm_G,805.5619561755499,468,1.2546916890080428
595339.6267000004,5639884.4727500025,Cm_G,825.5758127506411,479,1.2841823056300268
595382.4489000004,5639800.66885,Cm_G,848.964426609612,493,1.32171581769437
595418.0819999999,5639731.4098999975,Cm_G,882.155741209809,512,1.3726541554959786
595459.4641000007,5639650.97725,Cm_G,907.18484857411,527,1.4128686327077749
595509.63025,5639575.194699999,Cm_G,925.3016131034557,595,1.5951742627345844
595558.3839499992,5639503.058250003,Cm_G,916.6467130954982,575,1.5415549597855227
595611.8217500006,5639420.557900001,Cm_G,908.3048026746987,569,1.5254691689008042
595666.2237999997,5639342.1959000025,Cm_G,963.4571448398448,604,1.6193029490616622
595722.8759000001,5639273.4901,Cm_G,1024.9797615694806,643,1.7238605898123325
595779.1664000002,5639199.54105,Cm_G,1058.0538789142397,663,1.7774798927613942
595846.2448999998,5639131.408,Cm_G,1124.41531312973,705,1.8900804289544235
595924.3403000004,5639081.045699999,Cm_G,1007.0674067019916,631,1.6916890080428955
595998.3315499995,5639061.7982,Cm_G,894.4009284432336,612,1.6407506702412868
596062.52845,5639070.418,Cm_G,878.2698080940521,601,1.611260053619303
596126.2307499999,5639120.368849997,Cm_G,997.8666134449628,683,1.8310991957104559
596183.0837000008,5639191.2843499975,Cm_G,885.0424259477832,606,1.6246648793565683
596236.2401499995,5639259.26685,Cm_G,951.9413205633224,652,1.7479892761394102
596301.3297999989,5639320.74045,Cm_G,852.7223954495697,584,1.5656836461126005
596378.4007000002,5639347.2825000025,Cm_G,1160.0140772495465,794,2.128686327077748
596471.612300001,5639368.862750001,Cm_G,858.241462497291,588,1.5764075067024128
596552.1472000007,5639413.9623500025,Cm_G,660.315920851039,468,1.2546916890080428
596633.88955,5639457.72995,Cm_G,485.16842726969236,344,0.9222520107238605
596721.8811500005,5639504.13645,Cm_G,350.1781441547621,248,0.6648793565683646
596809.8726499998,5639550.542949999,Cm_G,312.2818389668561,220,0.5898123324396782
