X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
589823.1044000003,5640211.7651,Cm_G,775.587575767439,322,-0.9998852775854438,0.01514700194361612,589747.3693902822,5635212.338712073,589898.8394097184,5645211.191487928,24.606485118633245,full
589917.0857000003,5640218.050000002,Cm_G,806.8168172979126,335,-0.997135197978153,-0.07563991640046602,590295.2852820026,5635232.374010111,589538.8861179979,5645203.725989892,24.606485118633245,full
590011.1967000002,5640225.18945,Cm_G,997.4204620357166,407,-0.9971347983957872,-0.07564518377393427,590389.4226188699,5635239.515458021,589632.9707811305,5645210.8634419795,24.113283614267388,full
590104.6882499998,5640232.948450001,Cm_G,1133.0392163229415,462,-0.995037243740674,-0.0995031837126934,590602.2041685632,5635257.762231298,589607.1723314363,5645208.134668704,24.113283614267388,full
590196.7341499996,5640242.1531,Cm_G,1245.0814974419632,508,-0.99503670856193,-0.09950853538385912,590694.2768269188,5635266.96955719,589699.1914730803,5645217.336642809,24.113283614267388,full
590288.9505500009,5640250.905950001,Cm_G,1279.0772401794304,522,-0.9987523521661382,-0.04993735117731265,590538.6373058874,5635257.144189171,590039.2637941143,5645244.667710832,24.113283614267388,full
590382.7010499993,5640255.593450001,Cm_G,1313.183260558604,536,-0.9987523521587156,-0.049937351325766426,590632.3878066281,5635261.831689208,590133.0142933705,5645249.355210795,24.113283614267388,full
590474.4827999999,5640260.14035,Cm_G,1306.138107080506,534,-0.9988315477117504,-0.04832741763998126,590716.1198881998,5635265.982611441,590232.8457117999,5645254.298088559,24.15523733307107,full
590561.9519499997,5640263.234099999,Cm_G,1323.8165189126992,541,-0.9969623899852624,0.07788448468644707,590172.5295265674,5635278.422150073,590951.3743734319,5645248.0460499255,24.15523733307107,full
590651.9524499996,5640256.202849999,Cm_G,1299.1782407798994,531,-0.9969619599064916,0.07788998972530019,590262.5025013732,5635271.393050467,591041.4023986261,5645241.0126495315,24.15523733307107,full
590748.2810999993,5640240.312200001,Cm_G,1309.844604314287,536,-0.9852119783898822,0.17133988921758667,589891.5816539114,5635314.252308052,591604.9805460873,5645166.372091951,24.15523733307107,full
590836.4533999999,5640216.686999999,Cm_G,1333.3111545884099,545,-0.9539932549016684,0.2998280667351217,589337.3130663242,5635446.720725491,592335.5937336755,5644986.653274507,24.15523733307107,full
590921.8412999997,5640185.9743,Cm_G,1342.1704200470508,549,-0.9079593845300662,0.4190581773975819,588826.5504130118,5635646.17737735,593017.1321869877,5644725.77122265,24.15523733307107,full
591006.4095500004,5640143.52145,Cm_G,1329.0114838009144,551,-0.8539399123194914,0.5203716231192661,588404.5514344041,5635873.821888402,593608.2676655968,5644413.221011598,24.52628755625588,full
591083.5528500003,5640096.512250002,Cm_G,1335.82436232983,554,-0.8539399123653023,0.5203716230440896,588481.6947347799,5635826.812688175,593685.4109652208,5644366.211811828,24.52628755625588,full
591152.0174499996,5640032.5798,Cm_G,1318.1238097752657,547,-0.7160000733404107,0.6981002041086412,587661.5164294564,5636452.579433299,594642.5184705427,5643612.580166702,24.52628755625588,full
591219.5178500004,5639971.3232499985,Cm_G,1321.182633090773,552,-0.743293872483862,0.6689650358037736,587874.6926709815,5636254.853887579,594564.3430290193,5643687.792612418,24.73715858090732,full
591272.7797999996,5639895.005649999,Cm_G,1325.3737604798314,554,-0.55209659057627,0.833780159678832,587103.8790016054,5637134.522697117,595441.6805983937,5642655.48860288,24.73715858090732,full
591322.5856999988,5639814.08635,Cm_G,1337.8458617870183,559,-0.4603183474168069,0.8877539180603259,586883.8161096971,5637512.494612916,595761.3552903004,5642115.678087085,24.73715858090732,full
591368.018600001,5639726.465750001,Cm_G,1312.3827642099855,549,-0.4603183474168069,0.8877539180603259,586929.2490096993,5637424.874012917,595806.7881903027,5642028.057487085,24.73715858090732,full
591413.4515500002,5639638.84505,Cm_G,1284.742603445987,537,-0.4603143549776958,0.8877559882092982,586974.6716089537,5637337.273275111,595852.2314910467,5641940.416824888,24.73715858090732,full
591464.4879000001,5639556.449250001,Cm_G,669.3081920963876,280,-0.5547025916300022,0.8320486973963477,587304.2444130183,5636782.936291851,595624.7313869818,5642329.962208152,24.73715858090732,full
591518.1014499993,5639478.401899999,Cm_G,664.5375352813688,279,-0.5780179370917828,0.8160240587140553,587437.9811564289,5636588.31221454,595598.2217435696,5642368.491585458,24.82550631893075,full
591571.8907500008,5639402.464,Cm_G,671.1273751394428,281,-0.5780179370917828,0.8160240587140553,587491.7704564305,5636512.374314541,595652.0110435712,5642292.553685458,24.82550631893075,full
591628.2565500005,5639323.2716,Cm_G,680.2133502304083,285,-0.5800728960656741,0.8145645678827319,587555.4337105869,5636422.907119671,595701.0793894142,5642223.636080328,24.82550631893075,full
591690.3327500008,5639250.7992,Cm_G,863.7211703839665,362,-0.7182408043216356,0.6957946155349364,588211.3596723261,5635659.595178392,595169.3058276754,5642842.003221609,24.82550631893075,full
591764.7238,5639203.6193,Cm_G,1222.9016982290534,513,-0.8911637084857238,0.4536818760739424,589496.3144196303,5634747.800757572,594033.1331803697,5643659.437842429,24.82550631893075,full
591841.3648499993,5639168.7441,Cm_G,1291.1339493587175,542,-0.9284766908616996,0.3713906764130028,589984.4114679343,5634526.360645691,593698.3182320644,5643811.127554309,24.82550631893075,full
591927.4278000008,5639151.025250001,Cm_G,1123.3069330464614,471,-0.9986178436715072,0.052558560681105634,591664.6349965952,5634157.936031643,592190.2206034063,5644144.114468358,24.82550631893075,full
592024.0376499994,5639153.415850001,Cm_G,995.9062783161065,424,-0.9948936897680176,-0.10092842047599504,592528.6797523793,5634178.947401161,591519.3955476194,5644127.8842988415,25.19983363179358,full
