X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
601824.3878118513,5611449.755642579,MITCHELL FAULT,1,1,1
594725.3123922722,5642249.349223325,NUBLET THRUST,1,1,1
590814.2982784103,5642408.439244498,SIMPSON PASS THRUST,1,1,1
591794.8816221064,5628143.644061965,MITCHELL FAULT,1,1,1
