X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
289369.7529000002,7678939.3102,A_HAc_kds,406.7747693896181,37,0.7788021829646006,0.6272696069550739,286233.40486522485,7682833.321114823,292506.10093477555,7675045.299285177,5.339524156544712,full
288716.9795999997,7678594.775499999,A_HAc_kds,900.7496406657384,48,0.7598455755427358,0.6501036081488311,285466.4615592555,7682394.003377712,291967.49764074385,7674795.547622285,3.0682832939211977,full
288969.3965500002,7677900.411599998,A_HAc_kds,1727.3779285242508,147,0.7836351629754946,0.6212213223548995,285863.2899382257,7681818.587414876,292075.50316177466,7673982.235785121,4.890262200597789,full
288791.47190000024,7677883.63005,A_HAc_kds,1678.5548001818158,143,0.8099335208810542,0.5865216890731483,285858.8634546345,7681933.297654405,291724.080345366,7673833.962445594,4.890262200597789,full
288487.61659999983,7677756.276049999,A_HAc_kds,4176.1897351689995,393,0.12847675837938946,0.9917125201167544,283529.05399941606,7678398.659841895,293446.1792005836,7677113.892258102,5.413286420348811,full
288315.78768897033,7677502.127460804,A_HAc_kds,4046.1525002360604,381,0.2001528320389814,0.9797646879872612,283416.964249034,7678502.891620999,293214.61112890666,7676501.3633006085,5.413286420348811,full
299930.3212000001,7685446.17075,A_FOk_b,3165.653270579929,1656,0.6156373051983354,-0.7880296367828634,303870.46938391443,7688524.357275992,295990.1730160858,7682367.984224007,31.541966105665175,full
299326.6368,7686236.72315,A_FOk_b,3952.270773095734,1501,0.6032120052657041,-0.7975808903824916,303314.5412519124,7689252.783176328,295338.73234808753,7683220.663123672,22.323943431797318,full
298721.0558500001,7687066.82385,A_FOk_b,3952.816160941588,1011,0.8299542197493122,-0.5578315096158609,301510.21339807945,7691216.594948747,295931.8983019208,7682917.052751253,14.826811130594521,full
297827.24010000005,7688266.875150002,A_FOk_b,4819.515959467121,1873,0.9040722392268852,-0.4273796745977582,299964.13847298885,7692787.236346136,295690.34172701125,7683746.513953867,22.872334559766074,full
332448.04964999994,7626378.91925,P__TAw_ktsv,363.15031668149805,279,0.13204416009170236,-0.9912438346772589,337404.2688233862,7627039.140050459,327491.83047661366,7625718.698449542,50.38617664427307,full
331552.8541000001,7629674.35695,P__TAw_ktsv,845.8027685618865,702,0.4290569395595189,-0.9032774449834444,336069.24132491736,7631819.641647797,327036.4668750829,7627529.072252203,56.0978939401758,full
331552.8541000001,7629674.35695,P__TAw_ktsv,845.8027685618865,702,0.4290569395595189,-0.9032774449834444,336069.24132491736,7631819.641647797,327036.4668750829,7627529.072252203,56.0978939401758,full
330861.39015000034,7631758.07045,P__TAw_ktsv,1020.226741450947,597,-4.604898152229781e-07,-0.9999999999998941,335861.3901499998,7631758.068147551,325861.39015000087,7631758.07275245,35.86416880629414,full
330553.054,7634438.94685,P__TAw_ktsv,1044.1814557976218,716,-0.006422908009385079,-0.9999793729136132,335552.95086456806,7634406.832309953,325553.15713543195,7634471.061390047,43.345889660819,full
325546.72564999986,7603978.8367,A_FOk_b,4785.966969484862,902,0.4375011766064208,-0.8992178381615866,330042.8148408078,7606166.342583032,321050.6364591919,7601791.330816967,10.865448733398082,full
324545.40650000004,7605705.3193999985,A_FOk_b,3587.0197497085355,1215,0.5146566844263856,-0.8573963477734435,328832.3882388673,7608278.602822131,320258.4247611328,7603132.0359778665,19.81430872725207,full
324091.50474999985,7607601.910499998,A_FOk_b,1376.2149443231951,668,0.1903746833080948,-0.9817115054614276,329000.062277307,7608553.783916539,319182.9472226927,7606650.037083458,29.04855671281033,full
300706.56900000013,7677148.2149,A_FOk_b,4261.386244379394,1654,0.6204518259025154,-0.7842445611760624,304627.79180588044,7680250.474029512,296785.34619411983,7674045.955770488,22.844335832018743,full
299211.3496999997,7679337.0191,A_FOk_b,3186.137823829221,1506,-0.00906659082925057,0.9999588976206648,294211.55521189637,7679291.686145854,304211.144188103,7679382.352054146,28.225119015378567,full
298433.75820000004,7678779.532749998,A_FOk_b,2129.2879274661227,707,-0.035888322594002736,0.9993558066581636,293436.97916670924,7678600.091137028,303430.53723329084,7678958.9743629685,19.39356596146071,full
298478.7433999996,7678540.0015,A_FOk_b,2364.090461546409,795,0.19828470643888052,0.9801444664907549,293578.02106754587,7679531.425032195,303379.4657324534,7677548.577967806,19.65368503758043,full
298381.5496,7678065.52805,A_FOk_b,1745.3373669219684,619,-0.25513506114513895,0.966905424834542,293547.0224758273,7676789.852744274,303216.07672417274,7679341.203355726,20.78910158612186,full
298859.81510000024,7657324.955,A_FOj_xs_b,3882.1711930558026,863,0.21390109491296985,0.9768553227551318,293975.5384862246,7658394.460474565,303744.0917137759,7656255.449525435,12.856176481024761,full
298871.6100999997,7656676.57035,A_FOj_xs_b,4911.592529819571,1596,0.5053391855198293,0.8629208002929097,294557.00609853514,7659203.266277599,303186.21410146425,7654149.8744224,18.965282427822544,full
299842.9299499998,7655665.7994,A_FOj_xs_b,2918.1320495440773,812,-0.1760588383780954,0.984379644968828,294921.03172515566,7654785.5052081095,304764.8281748439,7656546.09359189,16.171278103948666,full
299567.4354500002,7655260.090050002,A_FOj_xs_b,3278.251603804022,1107,-0.10221707368785124,0.9947621172153132,294593.62486392364,7654749.004681562,304541.2460360768,7655771.175418441,19.743511056544577,full
299721.4145999998,7654615.4297,A_FOj_xs_b,4261.80485643636,1140,0.30571217455637634,0.9521239763434234,294960.79471828265,7656143.990572782,304482.0344817169,7653086.868827218,15.528666557065407,full
285357.52605,7695166.776450002,A_HAc_kds,2475.3134299632325,755,-0.9153151004365708,-0.4027384596891512,287371.2183484457,7690590.200947818,283343.83375155425,7699743.351952185,17.781665746743258,full
286444.9233500003,7695849.83675,A_HAc_kds,3187.4999977393772,581,-0.9934993278087788,-0.11383797979367233,287014.1132489687,7690882.340110956,285875.7334510319,7700817.333389044,10.51276421239642,full
287395.3556000004,7687708.870200002,A_HAc_kds,428.10323367950843,57,0.6217260800084091,-0.7832347549983832,291311.52937499236,7690817.500600044,283479.1818250085,7684600.23979996,7.780885902273255,full
287057.86965000024,7688082.35415,A_HAc_kds,429.7028097883556,103,0.8532789695257551,-0.5214546961770173,289665.1431308853,7692348.748997629,284450.59616911516,7683815.959302371,13.920946331844036,full
286360.94334999984,7688528.6583,A_HAc_kds,340.4586082107706,108,0.9556084767278832,-0.2946395072046773,287834.14088602323,7693306.700683639,284887.74581397645,7683750.615916361,18.64520720978966,full
286360.94334999984,7688528.6583,A_HAc_kds,340.4586082107706,108,0.9556084767278832,-0.2946395072046773,287834.14088602323,7693306.700683639,284887.74581397645,7683750.615916361,18.64520720978966,full
285853.5435500001,7688731.3971,A_HAc_kds,2279.356700661555,785,0.9296084660618475,-0.3685486397019244,287696.28674850974,7693379.4394303085,284010.8003514905,7684083.354769691,20.164085972921413,full
285378.3272000002,7689032.43085,A_HAc_kds,998.0844498604342,315,0.991198983693528,-0.1323804166971729,286040.229283486,7693988.425768468,284716.4251165143,7684076.435931533,18.441596865349453,full
284832.42354999995,7689308.199650002,A_HAc_kds,1170.6241529728238,233,0.9735745326351771,-0.2283695019134488,285974.27105956717,7694176.072313177,283690.57604043273,7684440.326986826,11.48453601388566,full
343453.5477499999,7586666.55205,P__TAw_ktsv,1069.602092906515,574,0.4001603865398049,-0.9164451238586596,348035.7733692932,7588667.353982699,338871.3221307066,7584665.750117301,32.49538999888732,full
343453.5477499999,7586666.55205,P__TAw_ktsv,1069.602092906515,574,0.4001603865398049,-0.9164451238586596,348035.7733692932,7588667.353982699,338871.3221307066,7584665.750117301,32.49538999888732,full
343339.9271,7587640.772600002,P__TAw_ktsv,969.1406894766768,584,-0.18427106480470726,-0.9828754624446271,348254.3044122231,7586719.417275978,338425.54978777684,7588562.127924025,37.06760255890339,full
343339.9271,7587640.772600002,P__TAw_ktsv,969.1406894766768,584,-0.18427106480470726,-0.9828754624446271,348254.3044122231,7586719.417275978,338425.54978777684,7588562.127924025,37.06760255890339,full
343079.0365,7588663.915,P__TAw_ktsv,1036.0618763147413,671,0.39994033497268333,-0.916541176631982,347661.7423831599,7590663.616674864,338496.3306168401,7586664.213325136,40.430373651504546,full
343079.0365,7588663.915,P__TAw_ktsv,1036.0618763147413,671,0.39994033497268333,-0.916541176631982,347661.7423831599,7590663.616674864,338496.3306168401,7586664.213325136,40.430373651504546,full
342564.3317999998,7590068.23175,P__TAw_ktsv,1529.6704344190916,887,-0.0747069508611708,-0.9972055312186284,347550.35945609293,7589694.696995694,337578.3041439067,7590441.766504306,35.46778099653151,full
342564.3317999998,7590068.23175,P__TAw_ktsv,1529.6704344190916,887,-0.0747069508611708,-0.9972055312186284,347550.35945609293,7589694.696995694,337578.3041439067,7590441.766504306,35.46778099653151,full
342870.2796,7591428.46935,P__TAw_ktsv,1597.6047966732722,602,-0.6227487476729594,-0.782421879341165,346782.3889967058,7588314.7256116355,338958.1702032942,7594542.213088364,22.169753622715348,full
342870.2796,7591428.46935,P__TAw_ktsv,1597.6047966732722,602,-0.6227487476729594,-0.782421879341165,346782.3889967058,7588314.7256116355,338958.1702032942,7594542.213088364,22.169753622715348,full
343410.88554999983,7592431.5509,P__TAw_ktsv,1598.867539360072,430,0.6039056394356846,-0.7970558190351393,347396.1646451755,7595451.079097179,339425.60645482416,7589412.0227028215,15.606563280900914,full
343410.88554999983,7592431.5509,P__TAw_ktsv,1598.867539360072,430,0.6039056394356846,-0.7970558190351393,347396.1646451755,7595451.079097179,339425.60645482416,7589412.0227028215,15.606563280900914,full
343602.92760000005,7593672.6226,P__TAw_ktsv,1113.6160548212818,274,-0.2290361142127313,-0.9734179258603844,348470.017229302,7592527.442028937,338735.83797069814,7594817.803171064,14.278063734973642,full
343602.92760000005,7593672.6226,P__TAw_ktsv,1113.6160548212818,274,-0.2290361142127313,-0.9734179258603844,348470.017229302,7592527.442028937,338735.83797069814,7594817.803171064,14.278063734973642,full
343493.19845,7596007.629149999,P__TAw_ktsv,1011.7281908505329,244,0.2169209448948215,-0.9761891741183866,348374.14432059193,7597092.233874473,338612.2525794081,7594923.024425524,13.958658273774901,full
342786.00895000016,7598092.707149998,P__TAw_ktsv,794.236148442244,259,0.6702631724520921,-0.7421234935335608,346496.62641766795,7601444.023012259,339075.3914823324,7594741.3912877375,19.093189728580313,full
341614.67260000017,7599363.653650002,P__TAw_ktsv,774.27719941143,404,0.3697614546214457,-0.9291267226144304,346260.3062130723,7601212.460923109,336969.038986928,7597514.846376894,31.4892400686511,full
