X,Y,Z,azimuth,dip,polarity,formation
290371.3515132262,7691829.78931687,209.00107,458.0,25.0,1,A_FOj_xs_b
295789.58855391666,7712626.380571933,230.89542000000003,330.0,58.0,1,CP__pa_sepg
415786.6298000002,7546642.6151,343.0,311.0,90.0,1,P__THb_shh
402795.42279999977,7555958.4059,362.0,305.0,70.0,1,P__THc_stq
419953.95330000017,7545211.8815,328.0,290.0,60.0,1,P__THb_shh
409351.6585999997,7544056.5988,343.0,387.0,45.0,1,P__THc_stq
405808.52049999963,7550369.4996,346.0,316.0,50.0,1,P__THc_stq
399521.2456,7539941.6332,372.97292999999996,379.0,35.0,1,P__THc_stq
425520.2635000004,7546750.8078,322.0,310.0,60.0,1,P__THb_shh
398852.2357999999,7530722.9366,475.63876,325.0,45.0,1,P__THc_stq
413913.0593999997,7537770.616,402.96136,297.0,60.0,1,P__THc_stq
418907.5290999999,7532086.0356,465.7745,305.0,80.0,1,P__THc_stq
435572.784,7532652.2064,318.3861,486.0,50.0,1,P__THc_stq
426352.1659000004,7530468.7393,396.73636,313.0,70.0,1,P__THc_stq
443398.2357999999,7524090.1342,329.12936,323.0,55.0,1,P__THc_stq
400869.91239999974,7521796.3668,418.6298,321.0,5.0,1,P__md_PTRB
414409.6276000002,7516054.1553,402.8385,289.0,50.0,1,P__THc_stq
420162.11510000005,7521844.4959,477.97632000000004,333.0,20.0,1,CP__pa_sepg
427831.10929999966,7518576.8567,396.2107,340.0,25.0,1,P__THc_stq
440065.8701,7512071.9721,346.93699999999995,317.0,80.0,1,P__THc_stq
429859.8340999996,7539066.5542,348.9737,517.0,80.0,1,P__THc_stq
403316.86450000014,7530313.6519,373.93118,325.0,80.0,1,P__THc_stq
438713.4744999996,7456809.9489,391.09286000000003,516.0,30.0,1,P__THb_shh
444603.91110000014,7463032.5228,404.3081,447.0,85.0,1,P__THc_stq
415046.7511,7464571.5136,369.0,324.0,15.0,1,P__DIt_ss
401835.25499999995,7470707.2922,431.0,235.0,5.0,1,P__DIt_ss
404115.6813000003,7472158.4048,405.0,524.0,15.0,1,P__DIt_ss
443661.7835999997,7506285.9742,354.0,404.0,40.0,1,P__THc_stq
415017.5948999999,7494885.7267,429.85602,344.0,70.0,1,P__THc_stq
406666.1750999997,7496167.9374,413.2451,322.0,20.0,1,P__THb_shh
353025.9875999997,7565957.518999999,377.7013,324.0,55.0,1,P__THc_stq
369559.8811999997,7561172.8988,360.1163,502.0,85.0,1,P__THc_stq
382898.7370999996,7563311.2894,329.6464,332.0,60.0,1,P__THb_shh
356906.8622000003,7553622.247,345.90182000000004,305.0,35.0,1,P__TA_sk
372214.52329999954,7559515.8127,370.98636,507.0,50.0,1,P__THc_stq
387424.76329999976,7553460.9637,411.2661,284.0,60.0,1,P__THc_stq
386093.6911000004,7556996.208,364.54877,508.0,52.0,1,P__THc_stq
356539.0224000001,7549341.3913,361.24548,250.0,45.0,1,P__TA_sk
381654.00339999975,7550710.1075,398.29016,266.0,10.0,1,P__THc_stq
394701.6997999996,7551835.9759,389.17838,517.0,10.0,1,P__THc_stq
347015.79509999976,7542140.8588,391.07465,322.0,45.0,1,P__TAc_sg
356708.2017999999,7543803.4192,384.1085,510.0,55.0,1,P__TA_sk
361125.8509,7542602.7234,400.98587000000003,320.0,22.0,1,P__TAc_sg
371746.01510000037,7546044.1146,370.0454,310.0,55.0,1,P__THb_shh
383441.4080999997,7542041.1395,400.06744,279.0,42.0,1,P__THc_stq
346700.30759999994,7534680.1822,412.74523999999997,181.0,35.0,1,P__TAy_sk
348045.8388,7534568.7805,415.3631,514.0,30.0,1,P__TAc_sg
377698.92810000014,7536595.7315,422.89017,255.0,30.0,1,P__THb_shh
377776.71590000024,7537179.6945,422.89017,314.0,54.0,1,P__THb_shh
348556.9952999996,7528479.691000001,434.39264000000003,214.0,15.0,1,P__TAc_sg
373111.0511999997,7531226.4239,392.95016,320.0,40.0,1,P__THb_shh
382490.07330000034,7526287.85,437.90076,289.0,15.0,1,P__THb_shh
386941.08050000016,7525538.7301,472.99395999999996,514.0,60.0,1,P__THc_stq
346661.5433,7518541.4801,491.20877,340.0,50.0,1,P__DIt_ss
383480.19710000046,7521493.6835,449.94092,498.0,80.0,1,P__THb_shh
391217.5440999996,7523909.6753,475.76995999999997,499.0,25.0,1,P__THc_stq
352254.63879999984,7512701.3345,487.8524,494.0,25.0,1,P__TAo_ssqv
348584.8651999999,7516210.1172,453.25516,533.0,38.0,1,P__TAc_sg
354919.8388,7514026.471,449.0919,365.0,30.0,1,P__TAc_sg
358754.20079999976,7513242.7586,493.86548,356.0,11.0,1,P__TAo_ssqv
360815.54540000024,7517003.1684,429.06015,407.0,35.0,1,P__TAo_ssqv
