X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
409269.9239680405,7497737.167201987,Fault_143,12,1,0.0
300181.06240924966,7714859.633336248,Fault_146,10,3,0.0
303573.56029326713,7707342.203052063,Fault_146,88,34,0.0
562024.5788403051,7686816.014418188,Fault_201,10,2,180.0
562024.5788403051,7686816.014418188,Fault_201,-19999,9331,0.0
552094.8983868439,7696632.67397253,Fault_201,10,3,180.0
547841.5742207776,7700916.807450102,Fault_201,19999,10476,180.0
547841.5742207776,7700916.807450102,Fault_201,10,0,180.0
467545.4066576837,7560202.11097198,Fault_202,39,8,0.0
467545.4066576837,7560202.11097198,Fault_202,-31658,2710,180.0
498438.22272911004,7555626.478430823,Fault_202,-83,14,180.0
498963.6415304212,7555750.913125408,Fault_202,31770,5169,0.0
498963.6415304212,7555750.913125408,Fault_202,83,40,0.0
501485.575074883,7556348.172278812,Fault_202,10,28,180.0
543486.2983432674,7559558.2891415395,Fault_202,10,0,180.0
569648.3054895155,7556029.3264498385,Fault_202,10,0,0.0
302542.0665402971,7697746.236672723,Fault_97,1,1,1
352997.2905070877,7501086.9598130565,Fault_99,1,1,1
406856.5001475073,7496073.489906007,Fault_103,1,1,1
457440.70995207794,7499763.719995459,Fault_128,1,1,1
373326.7100656465,7540629.840052705,Fault_157,1,1,1
498383.0400264724,7492073.799911258,Fault_181,1,1,1
500137.2000439475,7464999.090044661,Fault_203,1,1,1
