x,y,formation,app_th,thickness,norm_th
519922.855516935,7510700.49570857,Wittenoom_Formation,1076.0922560665056,394,2.0520833333333335
523048.0255426596,7511696.634111812,Wittenoom_Formation,1157.9640501583688,172,0.8958333333333334
524965.16076637,7513561.55955241,Wittenoom_Formation,1821.7176338899146,242,1.2604166666666667
526487.730267925,7517135.579473835,Wittenoom_Formation,3216.325150361614,235,1.2239583333333333
530849.995220055,7520256.246672455,Wittenoom_Formation,2340.8323245812367,202,1.0520833333333333
533742.970656035,7520098.24971456,Wittenoom_Formation,1610.9786834640515,166,0.8645833333333334
534812.2681826733,7521214.917322743,Wittenoom_Formation,2845.107288857264,329,1.7135416666666667
549386.979920835,7520323.1789416,Wittenoom_Formation,2661.863462067159,1144,5.958333333333333
548897.613677515,7514319.135195435,Wittenoom_Formation,2260.720079834403,251,1.3072916666666667
546966.843348305,7512983.390460685,Wittenoom_Formation,2385.259999431297,354,1.84375
546318.865985385,7512018.13350736,Wittenoom_Formation,1930.8713300874026,352,1.8333333333333333
545498.939821435,7510616.14618635,Wittenoom_Formation,1846.3114921626968,320,1.6666666666666667
544388.08989391,7508248.8998356275,Wittenoom_Formation,1513.1731392398667,139,0.7239583333333334
541663.86921207,7504453.40099267,Wittenoom_Formation,944.402345302148,243,1.265625
537696.580005585,7503038.644540605,Wittenoom_Formation,627.8002973357987,134,0.6979166666666666
536651.8741216101,7501808.884078665,Wittenoom_Formation,1532.2180425701788,192,1.0
534231.799758695,7501134.369183125,Wittenoom_Formation,710.2716834679077,127,0.6614583333333334
519931.834325765,7499583.206071265,Wittenoom_Formation,618.7551079914713,146,0.7604166666666666
517829.94979301,7497980.185686345,Wittenoom_Formation,601.8482755190033,144,0.75
541302.175639445,7490693.151349145,Wittenoom_Formation,500.6935290901384,170,0.8854166666666666
543123.31095177,7491847.90650611,Wittenoom_Formation,807.3707024276342,188,0.9791666666666666
544238.128957815,7492249.41017384,Wittenoom_Formation,480.83751343292863,73,0.3802083333333333
546356.50004214,7493058.92059762,Wittenoom_Formation,473.9733581106939,121,0.6302083333333334
548354.744484535,7492678.941418905,Wittenoom_Formation,150.51386396504697,101,0.5260416666666666
550574.23391728,7493344.715451688,Wittenoom_Formation,241.8051126283515,188,0.9791666666666666
552377.503348235,7493430.229805415,Wittenoom_Formation,279.597434640164,202,1.0520833333333333
553735.194837735,7493419.74543171,Wittenoom_Formation,285.52473194828184,192,1.0
555624.80435913,7493597.261058785,Wittenoom_Formation,372.9966956679614,233,1.2135416666666667
557444.45464218,7494443.52454254,Wittenoom_Formation,616.3476411337069,366,1.90625
559538.901187967,7495284.8692185925,Wittenoom_Formation,948.0292760525643,455,2.3697916666666665
560849.59099171,7475805.59407085,Wittenoom_Formation,1267.1586147989626,54,0.28125
560809.9350963649,7477842.34147484,Wittenoom_Formation,708.7597863853259,31,0.16145833333333334
530402.2047668749,7521236.235398585,Marra_Mamba_Iron_Formation,886.7508782710989,79,0.6583333333333333
548831.18947511,7521110.694545185,Marra_Mamba_Iron_Formation,292.0103553766874,120,1.0
550833.86942663,7520332.92575877,Marra_Mamba_Iron_Formation,950.3371211642584,438,3.65
552243.0505179199,7519131.661241813,Marra_Mamba_Iron_Formation,1479.3361059737488,670,5.583333333333333
553506.37492226,7516896.125452775,Marra_Mamba_Iron_Formation,1382.104366534057,494,4.116666666666666
552665.118585225,7515631.876654585,Marra_Mamba_Iron_Formation,726.3854809053362,222,1.85
551085.6336944799,7514482.115038515,Marra_Mamba_Iron_Formation,507.07136850303993,107,0.8916666666666667
549041.035260135,7513812.380497025,Marra_Mamba_Iron_Formation,528.7266247390027,40,0.3333333333333333
547488.09007165,7512891.640436515,Marra_Mamba_Iron_Formation,477.0078746268897,52,0.43333333333333335
546915.9039405249,7511745.000902525,Marra_Mamba_Iron_Formation,660.0906593747368,98,0.8166666666666667
546635.290916825,7510767.13469111,Marra_Mamba_Iron_Formation,803.9922991995454,103,0.8583333333333333
545312.050876535,7509345.395137595,Marra_Mamba_Iron_Formation,756.3626141666376,87,0.725
544579.6767696401,7507799.651197765,Marra_Mamba_Iron_Formation,333.5618381892719,24,0.2
543576.64946143,7506178.900727445,Marra_Mamba_Iron_Formation,381.11081913928496,48,0.4
541741.404247645,7504078.900228443,Marra_Mamba_Iron_Formation,354.08747710710816,99,0.825
539709.6700366649,7502769.40030633,Marra_Mamba_Iron_Formation,464.72265446924087,132,1.1
537484.2345968201,7502186.14398269,Marra_Mamba_Iron_Formation,1053.737732262378,194,1.6166666666666667
537151.78487281,7501157.135138335,Marra_Mamba_Iron_Formation,710.8266317709421,91,0.7583333333333333
534794.12882174,7500848.3640124425,Marra_Mamba_Iron_Formation,368.54903015066657,38,0.31666666666666665
533398.540996195,7500516.824355229,Marra_Mamba_Iron_Formation,517.0039387353523,137,1.1416666666666666
531362.5394642651,7500720.83522844,Marra_Mamba_Iron_Formation,372.3413142874804,174,1.45
529030.778694384,7500199.7410713425,Marra_Mamba_Iron_Formation,872.0406975305867,463,3.8583333333333334
560481.310866785,7475177.096369605,Marra_Mamba_Iron_Formation,662.0856529813115,41,0.3416666666666667
559856.84459489,7476914.83302106,Marra_Mamba_Iron_Formation,789.5407145082927,30,0.25
559705.78181074,7478573.56983927,Marra_Mamba_Iron_Formation,551.8114938339595,77,0.6416666666666667
541139.5260350851,7491254.13892524,Marra_Mamba_Iron_Formation,567.0337532417846,198,1.65
542029.7649851771,7491640.4766544225,Marra_Mamba_Iron_Formation,592.4607256357046,173,1.4416666666666667
