X,Y,Z,azimuth,dip,polarity,formation
541358.46061301,7476431.07075229,450.,276.7838834842821,45,0,Rocklea_Inlier_metagranitic_unit
540971.02066699,7476877.07989872,449.,210.45231812619605,45,0,Rocklea_Inlier_metagranitic_unit
539598.27840591,7477765.57024949,500.,217.19971150616146,45,0,Rocklea_Inlier_metagranitic_unit
538346.57870325,7478761.55831537,437.,205.77990322976424,45,0,Rocklea_Inlier_metagranitic_unit
536413.60194539,7479358.50150807,420.,153.55695617972015,45,0,Rocklea_Inlier_metagranitic_unit
535973.35935345,7478417.47064393,420.,15.215405267252436,45,0,Rocklea_Inlier_metagranitic_unit
537576.41909701,7478477.02245801,437.,22.954601427759144,45,0,Rocklea_Inlier_metagranitic_unit
538745.52027745,7477462.02832475,451.,183.19429976138036,45,0,Rocklea_Inlier_metagranitic_unit
537110.54042016,7477389.97284968,428.,164.33969823280307,45,0,Rocklea_Inlier_metagranitic_unit
536428.58983392,7476462.40820376,419.,55.265170337307666,45,0,Rocklea_Inlier_metagranitic_unit
536610.95903758,7474972.85881716,439.,60.886442801700866,45,0,Rocklea_Inlier_metagranitic_unit
537437.90754403,7474983.37874796,438.,302.35770277319483,45,0,Rocklea_Inlier_metagranitic_unit
537960.66886067,7475758.44080556,439.,11.791312595963063,45,0,Rocklea_Inlier_metagranitic_unit
539061.57196156,7476092.99021689,452.,326.13638116729203,45,0,Rocklea_Inlier_metagranitic_unit
540855.7583959,7476343.07302141,445.,1.1667480748860442,45,0,Rocklea_Inlier_metagranitic_unit
541224.68949075,7476335.55921922,451.,324.47346078516966,45,0,Rocklea_Inlier_metagranitic_unit
524538.24941781,7479935.4520637,383.,299.6146820389609,45,0,Rocklea_Inlier_metagranitic_unit
545347.46956297,7477512.16031512,470.,97.17806819753764,45,0,Rocklea_Inlier_metagranitic_unit
544772.07962524,7476878.63793383,470.,196.30240567511532,45,0,Rocklea_Inlier_metagranitic_unit
544868.47112778,7474421.60093993,448.,77.07054701529182,45,0,Rocklea_Inlier_metagranitic_unit
544918.29034758,7474204.59148378,446.,87.24096327195514,45,0,Rocklea_Inlier_metagranitic_unit
524814.0913751485,7473446.765934078,404.,241.3142518198739,45,0,Rocklea_Inlier_metagranitic_unit
523881.70982023,7475617.39919385,394.,270.2740935104077,45,0,Rocklea_Inlier_metagranitic_unit
523880.4596507,7478016.93056708,381.,284.1032489699839,45,0,Rocklea_Inlier_metagranitic_unit
524274.52800415,7479306.94064317,382.,292.7627678618954,45,0,Rocklea_Inlier_metagranitic_unit
544486.60044895,7477014.13912995,456.,236.63428035065002,45,0,Rocklea_Inlier_metagranitic_unit
544398.1812338,7477135.63909908,453.,173.0951173423091,45,0,Rocklea_Inlier_metagranitic_unit
544137.38020216,7477130.63048583,456.,193.69714117515898,45,0,Rocklea_Inlier_metagranitic_unit
524662.73130987,7480154.44913802,384.,338.58540505367995,45,0,Rocklea_Inlier_metagranitic_unit
529827.91051599,7480963.48990523,411.,357.2412480870007,45,0,Rocklea_Inlier_metagranitic_unit
537775.93181324,7480703.57045698,444.,15.19076578501955,45,0,Rocklea_Inlier_metagranitic_unit
538468.26221117,7480515.58826357,438.,327.38939874256096,45,0,Rocklea_Inlier_metagranitic_unit
540899.98049524,7481030.66038642,463.,23.790504862090643,45,0,Rocklea_Inlier_metagranitic_unit
543539.54005779,7479775.17871059,472.,34.319171499154066,45,0,Rocklea_Inlier_metagranitic_unit
544323.51875315,7479210.68079693,467.,43.007392026152075,45,0,Rocklea_Inlier_metagranitic_unit
544003.99001284,7477163.14045784,456.,235.84887934395502,45,0,Rocklea_Inlier_metagranitic_unit
542990.09090526,7477900.64864228,465.,199.16872354547183,45,0,Rocklea_Inlier_metagranitic_unit
541687.39900039,7478111.15142602,471.,119.95541938330331,45,0,Rocklea_Inlier_metagranitic_unit
542769.040812,7476908.60916732,469.,38.530146755902734,45,0,Rocklea_Inlier_metagranitic_unit
543275.31147864,7476384.10886607,459.,78.32298811195699,45,0,Rocklea_Inlier_metagranitic_unit
