WKT	STATION_ID	DIP	STRIKE
"POINT (612005.1503169433 5635883.547498944)"	"LDP359"	"80"	"165"
"POINT (614394.342581597 5623553.939533272)"	"MBB88K8g"	"50"	"155"
"POINT (614142.9879285572 5624823.942150481)"	"MBB88K8o"	"30"	"190"
"POINT (613851.9457159551 5624493.212164115)"	"MBB88K8m"	"45"	"145"
"POINT (614004.0813981312 5624142.638569225)"	"MBB88K8k"	"65"	"145"
"POINT (614222.3630763511 5624427.066349738)"	"MBB88K8p"	"37"	"152"
"POINT (614427.4155688994 5624486.597624599)"	"MBB88K8q"	"32"	"160"
"POINT (617254.4756745544 5626525.766862658)"	"PLP37"	"84"	"0"
"POINT (617087.7733792884 5626284.36944611)"	"PLP38"	"83"	"355"
"POINT (616891.9813349638 5626080.639868332)"	"PLP39"	"85"	"353"
"POINT (616796.7310963327 5625614.972312673)"	"MBB88K8u"	"70"	"345"
"POINT (615635.2079898035 5625831.931114659)"	"PLP40"	"67"	"170"
"POINT (615449.9992299755 5625752.555851037)"	"MBB88K8s2"	"65"	"160"
"POINT (615095.4568784438 5624461.386610304)"	"PLP41"	"5"	"295"
"POINT (614598.0391894258 5624426.990852039)"	"PLP42"	"18"	"180"
"POINT (614535.2005683383 5623679.541369179)"	"PLP44"	"43"	"160"
"POINT (614345.9666285977 5623991.411798275)"	"PLP43"	"50"	"145"
"POINT (608160.4421236445 5630006.669219415)"	"10MBB041"	"28"	"150"
"POINT (608277.417680994 5629018.534192421)"	"10MBB043"	"73"	"175"
"POINT (607962.2214078573 5628728.559921717)"	"10MBB044"	"85"	"151"
"POINT (606538.2802052322 5626843.639474813)"	"10MBB045"	"87"	"321"
"POINT (608518.39667088 5631327.139334011)"	"LDK220h"	"60"	"160"
"POINT (605966.0000141765 5609867.999991984)"	"08BCR_BM1"	"15"	"325"
"POINT (603593.8199982881 5607076.140029689)"	"08MBB343"	"77"	"338"
"POINT (603685.0000306073 5606885.880000657)"	"08MBB344"	"38"	"333"
"POINT (603685.0000306073 5606885.880000657)"	"08MBB344"	"15"	"15"
"POINT (603771.0099741125 5606903.52996747)"	"08MBB345"	"27"	"130"
"POINT (604080.3599738032 5606445.259998823)"	"08MBB346"	"28"	"313"
"POINT (603952.8799912761 5606001.319984867)"	"08MBB347"	"30"	"285"
"POINT (604046.8300018731 5606130.919968289)"	"08MBB348"	"75"	"330"
"POINT (603980.6599829048 5605617.749965274)"	"08MBB349"	"40"	"145"
"POINT (604138.6600339692 5605749.169969784)"	"08MBB350"	"83"	"325"
"POINT (604582.8600025964 5605321.229946308)"	"08MBB351"	"30"	"325"
"POINT (604582.8600025964 5605321.229946308)"	"08MBB351"	"25"	"170"
"POINT (604699.850031605 5605763.120053984)"	"08MBB352"	"73"	"160"
"POINT (602366.9700001896 5622021.25998607)"	"08MBB519"	"13"	"355"
"POINT (603288.0000031174 5599162.000040477)"	"08MBB370"	"20"	"145"
"POINT (603807.0000275167 5599358.999983408)"	"08MBB371"	"70"	"337"
"POINT (598942.000034063 5616452.999996129)"	"08MBB373"	"15"	"0"
"POINT (599157.0000107384 5616201.999958036)"	"08MBB374"	"10"	"105"
"POINT (602240.9999673672 5616508.000022487)"	"08MBB375"	"7"	"340"
"POINT (602150.9999859722 5616814.000046502)"	"08MBB376"	"23"	"325"
"POINT (602154.0000200894 5616704.000008235)"	"08MBB377"	"20"	"330"
"POINT (601110.0000251143 5616177.999966757)"	"08MBB378"	"3"	"295"
"POINT (598341.9999661621 5617768.000020894)"	"08MBB379"	"10"	"110"
"POINT (601139.9999754619 5612073.00004899)"	"08MBB381"	"55"	"330"
"POINT (600900.0000108348 5612214.000040748)"	"08MBB382"	"70"	"345"
"POINT (600574.9999793486 5612721.00001586)"	"08MBB384"	"90"	"335"
"POINT (600574.9999793486 5612721.00001586)"	"08MBB384"	"20"	"165"
"POINT (599472.0000194106 5613409.000001581)"	"08MBB387"	"75"	"150"
"POINT (599250.999988192 5613508.999989298)"	"08MBB388"	"55"	"145"
"POINT (604291.9999966393 5608625.000046103)"	"08MBB394"	"32"	"15"
"POINT (604170.0000254663 5608787.00002535)"	"08MBB395"	"30"	"5"
"POINT (604186.9999800614 5609129.999986733)"	"08MBB396"	"13"	"135"
"POINT (604080.9999747932 5609546.999984077)"	"08MBB397"	"20"	"145"
"POINT (604040.0000020354 5610071.000014893)"	"08MBB399"	"7"	"140"
"POINT (603985.9999830998 5610265.999966811)"	"08MBB400"	"12"	"23"
"POINT (603848.0000283173 5610668.999979614)"	"08MBB401"	"10"	"290"
"POINT (603950.9999963613 5610932.99995937)"	"08MBB402"	"5"	"325"
"POINT (598720.510003743 5608884.930005521)"	"08MBB403"	"5"	"315"
"POINT (599098.849989068 5608103.44998231)"	"08MBB404"	"25"	"335"
"POINT (599091.9700166211 5607600.369950653)"	"08MBB405"	"70"	"165"
"POINT (599478.4399675149 5606173.570043181)"	"08MBB409"	"10"	"80"
"POINT (599910.8900194389 5606017.720012693)"	"08MBB411"	"25"	"355"
"POINT (600070.3799788866 5605685.76997551)"	"08MBB412"	"12"	"165"
"POINT (600217.1000132936 5605640.37001528)"	"08MBB413"	"27"	"150"
"POINT (600387.730010811 5605942.470014923)"	"08MBB414"	"40"	"335"
"POINT (601720.6799810643 5598481.790035175)"	"08MBB444"	"42"	"154"
"POINT (601770.6300306021 5599429.689973724)"	"08MBB445"	"7"	"160"
"POINT (601770.6300306021 5599429.689973724)"	"08MBB445"	"15"	"300"
"POINT (602053.2899978166 5600510.020024093)"	"08MBB446"	"30"	"145"
"POINT (601351.4200311964 5600969.540028446)"	"08MBB448"	"6"	"190"
"POINT (601240.1100058929 5601321.660039396)"	"08MBB449"	"25"	"140"
"POINT (601177.1800063868 5601578.319950355)"	"08MBB450"	"42"	"153"
"POINT (600889.0100150137 5602544.179950619)"	"08MBB452"	"55"	"355"
"POINT (601834.4199801632 5603366.62000187)"	"08MBB453"	"12"	"350"
"POINT (601861.7699761896 5603441.680032564)"	"08MBB454"	"15"	"140"
"POINT (602445.359983043 5605350.820013446)"	"08MBB455"	"30"	"305"
"POINT (587204.9199840823 5621864.040011358)"	"08MBB457"	"45"	"153"
"POINT (586780.9800022367 5621773.739953647)"	"08MBB458"	"50"	"330"
"POINT (586428.8799809356 5621733.600046807)"	"08MBB459"	"30"	"20"
"POINT (585904.2800346389 5622005.039981969)"	"08MBB462"	"30"	"350"
"POINT (585808.4300203342 5622376.070014982)"	"08MBB463"	"25"	"350"
"POINT (585751.7499693712 5622697.500015859)"	"08MBB464"	"20"	"350"
"POINT (602474.5499651736 5600677.280050131)"	"08MBB505"	"30"	"335"
"POINT (602506.270018162 5600080.21999843)"	"08MBB506"	"25"	"165"
"POINT (601959.4799961877 5604677.489956485)"	"08MBB466"	"70"	"0"
"POINT (601442.1099969349 5603715.520006967)"	"08MBB468"	"40"	"160"
"POINT (601328.9400093006 5603560.579994126)"	"08MBB470"	"35"	"150"
"POINT (600937.8000218794 5603660.93998636)"	"08MBB471"	"12"	"125"
"POINT (600299.049993539 5603883.210037235)"	"08MBB472"	"30"	"150"
"POINT (601859.1700199591 5605424.870019971)"	"08MBB475"	"50"	"340"
"POINT (601805.8199734674 5605857.449991943)"	"08MBB476"	"27"	"330"
"POINT (602450.4899854744 5604277.719996047)"	"08MBB479"	"75"	"150"
"POINT (602353.9100105477 5604133.460048698)"	"08MBB480"	"75"	"160"
"POINT (602309.5799990164 5603882.520047711)"	"08MBB481"	"74"	"335"
"POINT (602371.9400282074 5602724.149955439)"	"08MBB483"	"75"	"345"
"POINT (602669.3600292488 5608170.849978805)"	"08MBB486"	"80"	"155"
"POINT (602444.9999997293 5610935.03005005)"	"08MBB488"	"41"	"143"
"POINT (602742.7200155518 5612278.060039316)"	"08MBB489"	"20"	"320"
"POINT (602350.9799647891 5611644.340009006)"	"08MBB490"	"20"	"148"
"POINT (590217.2499709509 5617247.81003422)"	"08MBB499"	"23"	"160"
"POINT (590462.310015615 5617196.429947387)"	"08MBB500"	"7"	"90"
"POINT (601116.3499708464 5598544.660030149)"	"08MBB504"	"45"	"165"
"POINT (601116.3499708464 5598544.660030149)"	"08MBB504"	"10"	"10"
"POINT (596010.590028222 5619490.500040963)"	"08MBB516"	"25"	"160"
"POINT (604429.5300138099 5621909.160042226)"	"08MBB518"	"15"	"35"
"POINT (602122.0000191641 5613309.000038275)"	"08MBB604"	"15"	"305"
"POINT (604851.3199953301 5611844.700051506)"	"06MBB093"	"13"	"10"
"POINT (605131.6199890008 5611597.450004037)"	"06MBB094"	"28"	"332"
"POINT (605122.2100316694 5611596.890048004)"	"06MBB095"	"20"	"357"
"POINT (605406.3000068503 5611449.829951429)"	"06MBB096"	"20"	"35"
"POINT (605406.3000068503 5611449.829951429)"	"06MBB096"	"22"	"215"
"POINT (605406.3000068503 5611449.829951429)"	"06MBB096"	"15"	"313"
"POINT (605548.7900190441 5611421.930000788)"	"06MBB097"	"18"	"320"
"POINT (605728.0399777703 5611540.670025491)"	"06MBB098"	"15"	"310"
"POINT (602762.888095333 5612790.467846952)"	"LDG6A-MS"	"9"	"258"
"POINT (602808.5489654759 5612906.841390934)"	"LDG6B-MS"	"10"	"14"
"POINT (602859.5491216733 5613028.590109773)"	"LDG6C-MS"	"14"	"20"
"POINT (602818.3594810446 5613722.988677338)"	"LDG6E-MS"	"20"	"330"
"POINT (591990.3999857013 5619237.040008004)"	"07MBB221"	"85"	"327"
"POINT (591589.6800297557 5618981.410037685)"	"07MBB228"	"58"	"155"
"POINT (591589.6800297557 5618981.410037685)"	"07MBB228"	"78"	"145"
