WKT	STATION_ID	DIP	STRIKE
"POINT (595165.0000214991 5639043.000029747)"	"10MBB016"	"17"	"140"
"POINT (594832.9999800019 5641419.000042608)"	"10MBB019"	"13"	"155"
"POINT (598772.3335877061 5638783.095741112)"	"10MBB025"	"21"	"162"
"POINT (599178.9999975031 5638313.999978904)"	"10MBB027"	"75"	"145"
"POINT (599660.0000222928 5637361.999986817)"	"10MBB028"	"70"	"150"
"POINT (599439.9999997222 5637644.000041713)"	"10MBB029"	"60"	"145"
"POINT (594820.0000124122 5640897.00004257)"	"10MBB030"	"44"	"145"
"POINT (595955.0000037339 5639727.000018909)"	"10MBB033"	"83"	"179"
"POINT (596934.9999966479 5641107.000042721)"	"10MBB034"	"85"	"328"
"POINT (598059.9999814086 5641998.99996335)"	"10MBB036"	"25"	"125"
"POINT (598431.9999684852 5642160.00001587)"	"10MBB037"	"25"	"155"
"POINT (599142.0000305878 5642430.999974421)"	"10MBB038"	"22"	"163"
"POINT (599315.9999994322 5642360.000041563)"	"10MBB039"	"22"	"155"
"POINT (605175.8271971492 5631846.767266359)"	"287NE-MS-1"	"44"	"175"
"POINT (590106.1893271612 5643402.599569082)"	"JDA1"	"31"	"131"
"POINT (589309.8918720155 5642912.164765604)"	"JDA2"	"20"	"130"
"POINT (588945.1776834014 5642779.90588237)"	"JDA4"	"18"	"133"
"POINT (588793.0896227953 5642643.216719427)"	"JDA5"	"15"	"147"
"POINT (594573.284864416 5624359.825146293)"	"LDK221mg1"	"15"	"135"
"POINT (595099.1599683263 5641436.63810574)"	"LDK228"	"90"	"340"
"POINT (584786.0001206761 5623231.369698303)"	"LDP480"	"38"	"350"
"POINT (585011.9200840017 5623208.77768853)"	"LDP481"	"42"	"340"
"POINT (585339.5041146529 5623020.511027282)"	"LDP481A"	"48"	"345"
"POINT (585678.3840034294 5622745.641773137)"	"LDP481B"	"40"	"342"
"POINT (586179.1732856813 5623103.348333905)"	"LDP483A"	"38"	"5"
"POINT (586250.7145928431 5623148.532299017)"	"LDP483B"	"37"	"165"
"POINT (586697.6808793184 5623527.336551279)"	"LDP485"	"60"	"330"
"POINT (586928.9776859718 5623866.137541352)"	"LDP487"	"25"	"145"
"POINT (585525.5720723851 5622931.152358637)"	"LDR78A-2"	"55"	"335"
"POINT (591461.7663743066 5624270.662130225)"	"LDR81A-2"	"90"	"340"
"POINT (592296.7994829771 5624081.608757061)"	"Sim1"	"68"	"333"
"POINT (602217.6168923435 5623974.123863287)"	"Sim10"	"3"	"45"
"POINT (602467.3841329721 5625040.92605495)"	"Sim11"	"23"	"127"
"POINT (602746.7846208656 5624410.158152097)"	"Sim12"	"15"	"85"
"POINT (602649.4176904252 5624020.690612405)"	"Sim13"	"12"	"82"
"POINT (603171.812115511 5623360.289258949)"	"Sim14"	"15"	"70"
"POINT (603366.5457653445 5623360.289299173)"	"Sim15"	"18"	"42"
"POINT (601999.1763799603 5627081.39681128)"	"Sim17"	"9"	"155"
"POINT (601089.0078796978 5626247.428423836)"	"Sim18"	"7"	"147"
"POINT (600225.4062106669 5626886.663051605)"	"Sim19"	"14"	"105"
"POINT (592718.645500386 5623891.705579391)"	"Sim2"	"43"	"170"
"POINT (599548.0715007783 5627225.330427425)"	"Sim20"	"20"	"47"
"POINT (599272.9042841055 5626658.062611584)"	"Sim21"	"9"	"155"
"POINT (599344.8710772669 5627369.26398743)"	"Sim22"	"22"	"0"
"POINT (599192.4707765802 5626120.428208035)"	"Sim23"	"15"	"75"
"POINT (596373.0651327283 5629134.567652163)"	"Sim24"	"4"	"355"
"POINT (596114.8313339023 5628211.698965156)"	"Sim25"	"3"	"152"
"POINT (596144.4647204757 5628897.500400894)"	"Sim27"	"6"	"1"
"POINT (595877.7641130792 5628101.63218588)"	"Sim28"	"5"	"18"
"POINT (595200.4295342695 5628127.032194023)"	"Sim29"	"10"	"182"
"POINT (594767.6466243259 5623960.542975754)"	"Sim3"	"7"	"120"
"POINT (594836.3620839997 5628664.666748465)"	"Sim30"	"8"	"325"
"POINT (594065.8937832515 5628905.967088925)"	"Sim31"	"3"	"253"
"POINT (593981.2270920825 5628668.899884581)"	"Sim32"	"7"	"233"
"POINT (593811.8933301176 5628287.899189139)"	"Sim33"	"12"	"260"
"POINT (593371.6257963262 5628173.598982036)"	"Sim34"	"6"	"210"
"POINT (593456.2927305717 5627568.231135248)"	"Sim35"	"19"	"203"
"POINT (593337.7589968329 5627106.796874147)"	"Sim36"	"30"	"150"
"POINT (593016.0251189177 5627559.764355103)"	"Sim37"	"25"	"166"
"POINT (592423.3572652559 5627689.728033407)"	"Sim38"	"3"	"283"
"POINT (592723.9244972315 5628845.430323957)"	"Sim39"	"34"	"155"
"POINT (600575.08019324 5625142.526209921)"	"Sim4"	"12"	"12"
"POINT (592448.7573227948 5628756.530136623)"	"Sim40"	"15"	"330"
"POINT (592376.790388003 5628739.596793574)"	"Sim41"	"16"	"165"
"POINT (591902.6562251146 5628532.163046201)"	"Sim42"	"5"	"120"
"POINT (592491.0907234604 5628210.429004658)"	"Sim43"	"25"	"5"
"POINT (592706.9912053435 5626614.459217128)"	"Sim44"	"70"	"162"
"POINT (591894.189601934 5627469.594168901)"	"Sim46"	"33"	"165"
"POINT (591568.2222037695 5627871.761725939)"	"Sim47"	"27"	"148"
"POINT (591191.4548157598 5627308.727285902)"	"Sim48"	"83"	"163"
"POINT (591466.6219777748 5627384.927386628)"	"Sim49"	"85"	"153"
"POINT (600541.2135001773 5624935.092377209)"	"Sim5"	"6"	"65"
"POINT (592592.6908944352 5625945.591054182)"	"Sim50"	"30"	"170"
"POINT (592397.9572225378 5625924.42439273)"	"Sim51"	"29"	"158"
"POINT (592182.0566944776 5626030.258073098)"	"Sim52"	"14"	"163"
"POINT (591870.90622787 5629270.457944722)"	"Sim53"	"18"	"152"
"POINT (592036.0063866944 5629308.557938614)"	"Sim54"	"12"	"150"
"POINT (594410.9112893206 5630012.56274123)"	"Sim55"	"0"	"0"
"POINT (592302.7070265834 5629418.624762168)"	"Sim56"	"23"	"157"
"POINT (591925.9396176055 5629985.892624875)"	"Sim57"	"15"	"203"
"POINT (592150.3067816888 5630002.825883738)"	"Sim58"	"2"	"155"
"POINT (594080.7105310854 5629291.624654271)"	"Sim59"	"16"	"276"
"POINT (601011.114413843 5624808.092187817)"	"Sim6"	"3"	"158"
"POINT (593775.9100325742 5630832.560929702)"	"Sim60"	"22"	"287"
"POINT (594465.9446974599 5630500.666899045)"	"Sim61"	"5"	"6"
"POINT (595346.4798118726 5631430.732065651)"	"Sim62"	"7"	"265"
"POINT (596552.9821894318 5629381.794719827)"	"Sim63"	"28"	"300"
"POINT (596912.8161713909 5630431.663511163)"	"Sim64"	"21"	"132"
"POINT (597264.1836310402 5630816.897575426)"	"Sim65"	"10"	"130"
"POINT (597653.6510295649 5630981.997897388)"	"Sim66"	"0"	"0"
"POINT (597852.6180880687 5632180.033741506)"	"Sim67"	"4"	"32"
"POINT (597827.21801371 5631900.6330883)"	"Sim68"	"6"	"160"
"POINT (597886.4847733302 5631676.266014912)"	"Sim69"	"6"	"128"
"POINT (601404.8152174773 5625815.627615103)"	"Sim7"	"16"	"103"
"POINT (597966.9184014681 5631329.132035939)"	"Sim70"	"5"	"158"
"POINT (598013.485132641 5631155.564905084)"	"Sim71"	"9"	"175"
"POINT (599203.0541888983 5631604.29921243)"	"Sim72"	"5"	"142"
"POINT (599545.9548702023 5631765.166065669)"	"Sim73"	"22"	"145"
"POINT (600523.856684426 5632010.699975579)"	"Sim75"	"7"	"130"
"POINT (600396.8565279387 5629805.128859198)"	"Sim78"	"24"	"68"
"POINT (600172.4893767774 5629563.828379675)"	"Sim79"	"25"	"50"
"POINT (601425.981877097 5624067.257531612)"	"Sim8"	"6"	"105"
"POINT (600324.88970493 5629301.361233076)"	"Sim80"	"31"	"22"
"POINT (602022.8831019197 5623965.657249151)"	"Sim9"	"3"	"75"
