X,Y,Z,angle,lsx,lsy,formation,group
589823.1044000003,5640211.7651,1817,90.86789247280618,-0.9998852775854438,0.01514700194361612,Cm_G,LOWER_CAMBRIAN
589917.0857000003,5640218.050000001,1827,85.66200874045181,-0.997135197978153,-0.07563991640046602,Cm_G,LOWER_CAMBRIAN
590011.1967000002,5640225.18945,1863,85.66170607504603,-0.9971347983957873,-0.07564518377393428,Cm_G,LOWER_CAMBRIAN
590104.6882499998,5640232.948450001,1873,84.28943768637922,-0.9950372437406741,-0.09950318371269339,Cm_G,LOWER_CAMBRIAN
590196.7341499996,5640242.1531,1885,84.28912952881474,-0.99503670856193,-0.09950853538385913,Cm_G,LOWER_CAMBRIAN
590288.9505500009,5640250.9059500005,1910,87.13761002021374,-0.9987523521661382,-0.04993735117731265,Cm_G,LOWER_CAMBRIAN
590382.7010499993,5640255.5934500005,1915,87.13761001169735,-0.9987523521587156,-0.049937351325766426,Cm_G,LOWER_CAMBRIAN
590474.4827999999,5640260.14035,1919,87.22996396541684,-0.9988315477117504,-0.04832741763998126,Cm_G,LOWER_CAMBRIAN
590561.9519499997,5640263.234099999,1924,94.46697615585268,-0.9969623899852625,0.07788448468644707,Cm_G,LOWER_CAMBRIAN
590651.9524499997,5640256.202849999,1922,94.46729253244176,-0.9969619599064915,0.07788998972530019,Cm_G,LOWER_CAMBRIAN
590748.2810999993,5640240.3122000005,1925,99.86573218185208,-0.985211978389882,0.17133988921758667,Cm_G,LOWER_CAMBRIAN
590836.4533999999,5640216.686999999,1926,107.44727670951791,-0.9539932549016683,0.2998280667351217,Cm_G,LOWER_CAMBRIAN
590921.8412999997,5640185.9743,1943,114.77514056478286,-0.9079593845300662,0.4190581773975819,Cm_G,LOWER_CAMBRIAN
591006.4095500004,5640143.52145,1930,121.35718254264344,-0.8539399123194914,0.5203716231192661,Cm_G,LOWER_CAMBRIAN
591083.5528500003,5640096.512250001,1939,121.35718253759941,-0.8539399123653023,0.5203716230440896,Cm_G,LOWER_CAMBRIAN
591152.0174499995,5640032.5797999995,1925,134.2747811407662,-0.7160000733404107,0.6981002041086412,Cm_G,LOWER_CAMBRIAN
591219.5178500004,5639971.323249999,1928,131.98723594320876,-0.743293872483862,0.6689650358037736,Cm_G,LOWER_CAMBRIAN
591272.7797999996,5639895.005649999,1947,146.48903292613798,-0.55209659057627,0.833780159678832,Cm_G,LOWER_CAMBRIAN
591322.5856999988,5639814.0863499995,1932,152.59234821366425,-0.4603183474168069,0.8877539180603259,Cm_G,LOWER_CAMBRIAN
591368.018600001,5639726.465750001,1931,152.59234821366425,-0.4603183474168069,0.8877539180603259,Cm_G,LOWER_CAMBRIAN
591413.4515500002,5639638.84505,1931,152.59260588602103,-0.4603143549776958,0.8877559882092982,Cm_G,LOWER_CAMBRIAN
591464.4879000001,5639556.4492500005,1937,146.30976752399692,-0.5547025916300022,0.8320486973963477,Cm_G,LOWER_CAMBRIAN
591518.1014499993,5639478.401899999,1932,144.68874469135596,-0.5780179370917828,0.8160240587140553,Cm_G,LOWER_CAMBRIAN
591571.8907500008,5639402.464,1932,144.68874469135596,-0.5780179370917828,0.8160240587140553,Cm_G,LOWER_CAMBRIAN
591628.2565500005,5639323.2716,1931,144.54433007687564,-0.5800728960656741,0.8145645678827319,Cm_G,LOWER_CAMBRIAN
591690.3327500008,5639250.7992,1942,134.09057166405296,-0.7182408043216356,0.6957946155349364,Cm_G,LOWER_CAMBRIAN
591764.7238,5639203.6193,1949,116.98015584258334,-0.8911637084857238,0.45368187607394234,Cm_G,LOWER_CAMBRIAN
591841.3648499993,5639168.7441,1945,111.80140948998644,-0.9284766908616997,0.3713906764130028,Cm_G,LOWER_CAMBRIAN
591927.4278000008,5639151.025250001,1937,93.01277187282106,-0.9986178436715071,0.05255856068110564,Cm_G,LOWER_CAMBRIAN
592024.0376499994,5639153.415850001,1931,84.20736444855399,-0.9948936897680177,-0.10092842047599504,Cm_G,LOWER_CAMBRIAN
592119.3819500003,5639172.11905,1934,66.69490204396996,-0.9184111836043292,-0.39562722079060125,Cm_G,LOWER_CAMBRIAN
592207.7651000004,5639214.095900001,1932,43.09074205210152,-0.6831557839195628,-0.7302726716078369,Cm_G,LOWER_CAMBRIAN
592266.4061000003,5639278.854,1956,39.805571094857044,-0.6401843996992317,-0.768221279568416,Cm_G,LOWER_CAMBRIAN
592307.8403999987,5639354.49055,1989,18.904531934271347,-0.3239922498635358,-0.9460597349154883,Cm_G,LOWER_CAMBRIAN
