WKT	OBJECTID	FEATURE
"LINESTRING (591807.3554712909 5646741.877109401, 591809.0131735097 5646734.555577642, 591886.2540608997 5646547.395128035, 591972.4073926179 5646357.263728616, 592061.5315334066 5646184.957191747, 592123.918279852 5646113.657908378, 592177.3927896146 5646113.657916198, 592224.9256495106 5646140.395102136, 592269.4875867428 5646190.898726997, 592319.9913443178 5646285.964537181, 592352.670102527 5646392.913357287, 592394.261295638 5646464.212641245, 592465.5606067707 5646517.687105073, 592557.6555294541 5646612.752662757, 592578.4510627094 5646630.577669655, 592599.2467110656 5646627.606817864, 592623.0130945065 5646600.869601741, 592643.8088156881 5646508.774706478, 592623.0130897913 5646398.854946044, 592560.6263204149 5646294.876858977, 592581.4219193286 5646152.27827916, 592715.1080364222 5645867.081293005, 592836.9109190297 5645632.387968387, 592940.8889953338 5645403.636106102, 593050.8087401388 5645154.088655843, 593169.6407463402 5644848.095952313, 593240.940070154 5644750.059555372, 593374.6262034638 5644663.906351137, 593469.6919353551 5644556.957325598, 593683.5897090018 5644236.110703551, 593777.3124527538 5644073.135066753, 593843.380530227 5643979.410680088, 593947.8601561994 5643854.956865272, 594043.121192668 5643698.237289247, 594169.1113710351 5643506.17882556, 594308.9298690687 5643317.193496993, 594405.7272720335 5643206.567968817, 594497.915353524 5643109.770417824, 594567.05632945 5643022.191936806, 594602.3950187961 5642949.977991307, 594622.3691011068 5642876.227629369, 594620.8326263744 5642791.721905133, 594599.3221199035 5642697.997423625, 594605.4680502671 5642585.835436438, 594619.2962386642 5642452.162789447, 594657.7078121171 5642352.292489205, 594725.3123922722 5642249.349223325, 594794.4534190008 5642164.843692812, 594892.7871921577 5642089.556746943, 594935.8988010965 5642065.105391284, 594995.730506565 5642031.171014421, 595006.4931428125 5642028.638606437, 595073.9618015869 5642012.763593447, 595100.2101961849 5642006.587503909, 595156.519489873 5642000.812213018, 595220.0545541957 5641994.295875968, 595313.7790944339 5641974.321641163, 595349.1161310337 5641957.223171465, 595409.0400077325 5641928.22765334, 595440.7861258966 5641911.633136026, 595476.644494276 5641892.888927485, 595507.3739202358 5641834.503259625, 595507.3739397377 5641785.336360407, 595471.0700545459 5641736.066846839, 595464.3527954983 5641726.950593267, 595396.7482920473 5641693.148340265, 595324.3119879753 5641676.747561486, 595315.3154707602 5641674.710694038, 595248.222911403 5641688.985667566, 595243.1016107223 5641690.075441549, 595197.2935157019 5641708.157596176, 595184.7159180369 5641713.122477829, 595086.8405672924 5641743.237997276, 595064.871469113 5641749.997591561, 595010.5953521414 5641752.711425724, 594972.6834730133 5641754.607034708, 594908.151936456 5641766.89873718, 594858.9849561744 5641802.237322547, 594806.7450498784 5641852.940788636, 594711.4841889995 5641883.670227383, 594659.2442813815 5641892.889086531, 594605.4679646003 5641889.81593978, 594574.7386032322 5641868.305469715, 594559.3740080812 5641836.039694204, 594576.275120058 5641783.799843251, 594608.5409291319 5641720.804678738, 594650.0255088517 5641622.470840331, 594706.5675390502 5641474.326621909, 594771.6685106086 5641267.561968044, 594817.9793377912 5641130.745690265, 594900.235262132 5640947.706057756, 594953.077967768 5640882.93680794, 594954.3489356067 5640881.378925153)"	"NUBLET THRUST"	"fault"
"LINESTRING (598448.063050417 5635533.380956226, 598482.3397032839 5635521.515879915, 598598.0460947504 5635499.684538466, 598801.0779531103 5635506.234027809, 598949.5315260919 5635506.23404032, 599065.2378932041 5635484.402615523, 599191.8598922066 5635429.824100745, 599317.4958112887 5635355.656403949, 599397.3600185126 5635318.576533455, 599455.0739088007 5635312.501421127, 599537.0884097974 5635306.426268942, 599774.0193234744 5635291.238370966, 599916.7853906306 5635282.125743161, 599995.7622873898 5635269.975409238, 600074.7392784535 5635236.562118769, 600171.9416547307 5635187.960920551, 600275.219280215 5635124.171784695, 600396.7223318914 5635051.269926112, 600521.2628602989 5634951.029996839, 600621.5028943523 5634865.97785324, 600724.7803670908 5634777.888158535, 600782.4944363296 5634711.061492187, 600849.3210113337 5634622.971791867, 600922.2227940124 5634501.468865601, 600982.9744061159 5634413.379077889, 601025.5003988786 5634334.40218185, 601064.9889060835 5634228.087003863, 601098.4021890481 5634127.846953868, 601134.8530823765 5634012.419149121, 601165.2288919538 5633827.127067202, 601204.7174248217 5633468.693224146, 601229.0179759793 5633152.78526937, 601262.4312953706 5632931.042336459, 601325.2064390638 5632693.869034135, 601379.6597777978 5632580.773320459, 601425.735891484 5632532.602951958, 601429.5561447841 5632528.635744009, 601429.7345994049 5632528.450353708, 601480.1893917562 5632476.055122689, 601547.208951551 5632427.88468063, 601689.6258318606 5632356.676335733, 601863.4581231477 5632262.42987032, 601976.5538285972 5632195.410212304, 602049.856564458 5632126.296220596)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (602049.856564458 5632126.296220596, 602049.9061003374 5632126.23516912)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (602049.856564458 5632126.296220596, 602102.0238981427 5632061.858921139, 602189.6400521554 5631932.781374185, 602284.2968875496 5631769.283312741, 602338.2747129914 5631606.567491342, 602378.9536645619 5631439.157881496, 602414.93889188 5631247.497396797, 602460.311651249 5631069.918092874, 602532.2821019853 5630853.22443532, 602574.5255976515 5630725.711521717, 602605.0348225168 5630650.611909728, 602653.5366907737 5630566.124799185, 602747.411205945 5630426.877658499, 602806.0828600153 5630329.091739043, 602873.3595166226 5630213.313166478, 602906.997963755 5630148.383251262, 602921.8613828573 5630107.704352479, 602930.4665604166 5630064.67843673, 602949.2414136619 5629948.899968257, 602950.369090229 5629870.712175881, 602951.588314426 5629786.184037159, 602950.0237212325 5629615.645227214, 602949.2413519776 5629550.715368772, 602949.9488065589 5629547.739340799)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (597233.5499340774 5640158.760316316, 597328.4946320546 5640176.968683158, 597433.9720840866 5640196.745731528, 597518.0244589372 5640195.097602184, 597570.7633581654 5640191.801438488, 597636.6866875668 5640168.728273773, 597707.5543936115 5640144.006989688, 597816.3280788226 5640083.027794438, 597878.9552794112 5640031.937074534, 597956.4153846584 5639980.846507802, 598066.8370973971 5639916.571182841, 598203.6282763469 5639835.8148657, 598264.5191672834 5639795.15672696, 598354.9718443715 5639752.514845424, 598468.6835975314 5639695.658984385, 598546.2143249469 5639637.510882576, 598657.3417007086 5639548.350449007, 598747.7943016159 5639466.943203906, 598833.0780652546 5639350.647093819, 598913.1932211047 5639222.721307025, 598948.082130149 5639181.371589086, 598988.1396005895 5639110.301882596, 599032.4908612319 5638988.340899047, 599058.6883745404 5638909.747876691, 599072.8813533367 5638820.154966499, 599093.6187436926 5638689.250805994, 599111.0838335586 5638420.724719677, 599126.9192165927 5638227.820237904, 599135.0983314606 5638128.184106235, 599152.563413324 5637909.870111383, 599174.3947917207 5637796.346880367, 599181.8385847438 5637686.682568961, 599179.4133839189 5637558.147347327, 599162.1355133404 5637379.608778381, 599157.5867152353 5637332.604149854, 599145.4607021395 5637179.816972952, 599135.7599439056 5637075.533585856, 599133.3346809164 5636993.077012902, 599134.3594843922 5636991.320326624, 599032.3524978299 5636894.336095713, 598866.1843350556 5636725.952212612, 598706.6628786101 5636566.430920001, 598478.458575485 5636338.226572051, 598279.0568058551 5636138.824726674, 598172.7091979359 5636041.339481551, 598119.5353950361 5635950.500941464, 598101.1571926513 5635899.607412752)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (598101.1571926513 5635899.607412752, 598090.7329180496 5635870.740214554, 598091.6987564615 5635865.669546971, 598099.5952269601 5635824.213100772, 598119.535358937 5635782.117128242, 598163.8469030047 5635720.081087861, 598261.3321767747 5635644.751490139, 598361.033111006 5635573.85302652, 598426.1694991355 5635540.959539377, 598448.063050417 5635533.380956226)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (588217.8428584802 5644815.217625033, 588326.4076501162 5644731.326612896, 588627.1622559837 5644521.765256094, 588628.2719788894 5644520.034085645, 588807.7753068757 5644419.723406641, 589175.5809606814 5644157.507827631, 589390.2810460421 5643976.244748063, 589568.0245107815 5643890.012841048, 589803.8425292182 5643729.867685899, 589912.9522857089 5643611.958740961, 590088.9359407228 5643603.159575365, 590210.3645955633 5643604.919213077, 590235.0022420292 5643599.639779737, 590259.6400044225 5643578.521783295, 590301.8760535074 5643381.42025829, 590359.9506974429 5643084.007916191, 590407.4662256963 5642835.871009698, 590428.5843133456 5642758.43822782, 590458.5014794908 5642716.202139995, 590516.5760973445 5642670.446456582, 590660.8826072845 5642566.616138785, 590724.2366779018 5642527.899725653, 590758.1830809978 5642489.697439949, 590758.1832108997 5642489.697242159, 590760.7297760083 5642485.749626147, 590777.5365152457 5642459.695519329, 590808.9236446428 5642413.483283156, 590814.2982784103 5642408.439244498, 590885.8800411747 5642341.252288873, 590977.0126304466 5642277.796994145, 591041.1429047755 5642195.440217975, 591067.4843180105 5642143.902790799, 591087.7218166924 5642104.307674335, 591141.7262717346 5642030.726423442, 591172.7788359912 5641993.598509818, 591211.9321127415 5641970.646660051, 591263.236308406 5641958.495610492, 591291.5886772657 5641947.69470438, 591328.7167971667 5641922.717623012, 591361.1195042776 5641886.939587809, 591401.622814685 5641813.358578986, 591480.6043903615 5641625.692894063, 591556.2106273322 5641473.805259055, 591606.164810219 5641389.423266068, 591702.6978017658 5641262.512871281, 591808.6815803936 5641126.826482396, 591999.7224453917 5640875.705622815, 592060.4775111404 5640800.774445588, 592096.2555326541 5640779.172707149, 592199.5390222395 5640742.719739719, 592478.337208658 5640649.561905692, 592636.9753171788 5640583.406519125, 592915.0983764012 5640498.349399183, 592985.0892710024 5640478.049067147, 593071.0363115193 5640453.12058971, 593102.2811861209 5640446.425267209)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (595539.7501655556 5639934.493250069, 595623.4230837252 5639813.167456202, 595713.8805575632 5639688.957178961, 595765.1849494578 5639649.804026838, 595826.6149883321 5639612.000986108, 595869.8186288178 5639596.474512105, 595935.2989899709 5639597.149536303, 595985.2531155613 5639598.499788053, 596057.4840976371 5639609.975697679, 596160.0927327533 5639639.678246119, 596224.1370150328 5639661.733182326, 596262.0260693827 5639674.781121725, 596395.6871930925 5639713.934289149, 596495.345639578 5639743.462754145, 596559.7257768591 5639762.538310633, 596574.7989154968 5639767.870316993, 596658.9590519692 5639797.641324495, 596824.8003649216 5639908.195568038, 596847.2534867951 5639923.163418321, 597028.3104238025 5640058.133120537, 597028.5429910513 5640058.306528334, 597048.5406173478 5640068.947368311, 597208.1844182839 5640153.895479764, 597208.1961397866 5640153.897800065, 597230.7271280703 5640158.218856378, 597233.5489280137 5640158.75999736, 597233.5499340774 5640158.760316316)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (595215.0141842328 5640445.694957487, 595308.8469627857 5640306.633428277, 595381.7530689662 5640180.398069859, 595501.9129778759 5639989.357231711, 595539.2550146161 5639935.211286115, 595539.7501655556 5639934.493250069)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (594919.7951518066 5640581.524975401, 594933.5158451181 5640575.305862292, 595039.4997454927 5640532.10213565, 595140.0830234443 5640490.248699517, 595215.0141842328 5640445.694957487)"	"SIMPSON PASS THRUST"	"fault"
