X,Y,l,m,n,dip,dip_dir
583473.0,5642018.0,-0.8065360689499051,-0.28241659522209095,0.519365416855989,58.71030546403226,250.7017920324373
583973.0,5641018.0,-0.8159396261248186,-0.2714381766485111,0.5104545452604208,59.30588848297363,251.59929256706312
583973.0,5641518.0,-0.8013363316998741,-0.2709235833786118,0.5333483809547767,57.76802813673265,251.3201328817654
583973.0,5642018.0,-0.785228719204649,-0.2718904651097794,0.5563195426358976,56.19835022536616,250.9012612779335
583973.0,5642518.0,-0.768700104453197,-0.2746393627274923,0.5776446743927282,54.714948470903515,250.33932709616897
584473.0,5640018.0,-0.8210466581904015,-0.26561834553907815,0.5053011771087188,59.64865278945384,252.07298971230102
584473.0,5640518.0,-0.8100806103627659,-0.2624288631119302,0.5243095426559281,58.378226373096595,252.05006035819235
584473.0,5641018.0,-0.7952969589348615,-0.2598273286044047,0.5477157167904351,56.78955770062837,251.90753678984038
584473.0,5641518.0,-0.7775338731980423,-0.2585422329133788,0.5732338003204407,55.02396224867561,251.607222910382
584473.0,5642018.0,-0.7581561868527738,-0.25920733684557445,0.5983399977122429,53.248898978644476,251.12486559546346
584473.0,5642518.0,-0.7387173777485118,-0.26219086078031756,0.6209288110046424,51.616007057846645,250.45884410243536
584973.0,5639518.0,-0.8074022486358206,-0.25845285213147556,0.5303807426018841,57.96881631929518,252.24991280110896
584973.0,5640018.0,-0.7993954098679248,-0.2538106487311949,0.5445614136832894,57.00530272700567,252.38518701616556
584973.0,5640518.0,-0.7862255637191925,-0.24922343453702916,0.565452953508959,55.56624887752657,252.41205169646048
584973.0,5641018.0,-0.7681667002137595,-0.2454597342340432,0.5913285377456908,53.74865794729015,252.2792565896034
584973.0,5641518.0,-0.7465601467164217,-0.24347447204221312,0.6191672866023532,51.74464920229582,251.93738136833508
584973.0,5642018.0,-0.7234275282241251,-0.244046633122749,0.64582803614351,49.77221280213692,251.35829398520286
584973.0,5642518.0,-0.7009190325703029,-0.2475873875652221,0.6688893744853025,48.01859603769782,250.5451234451308
584973.0,5643018.0,-0.6808405793934901,-0.25410553754691473,0.686939940052353,46.61163592655517,249.5332561510504
585473.0,5638518.0,-0.7834349704194573,-0.25764734445333065,0.5655506104850482,55.559464576302084,251.79557601234887
585473.0,5639018.0,-0.783387650212641,-0.2516883841412567,0.568292835413821,55.36873443015825,252.18872074474882
585473.0,5639518.0,-0.7794442787094783,-0.24541799254892355,0.5763997096809795,54.80228623822428,252.52272537862848
585473.0,5640018.0,-0.7699309243465637,-0.23896157427394388,0.5916956462197134,53.722571047024154,252.75735311142603
585473.0,5640518.0,-0.7539263562477299,-0.23283430409237477,0.614315257984726,52.09781744992005,252.8377963358863
585473.0,5641018.0,-0.7319681352414679,-0.22801539432563678,0.6420526683549042,50.05494734336154,252.6976661892876
585473.0,5641518.0,-0.706064516953432,-0.22560813497860255,0.6712479924221698,47.83654132632438,252.27980793910854
585473.0,5642018.0,-0.6790408100581586,-0.22646266094743184,0.6982966715316409,45.70949503334811,251.5562635528729
585473.0,5642518.0,-0.6537298669483274,-0.2310077951334793,0.7206057588219031,43.89548432284028,250.53817662832716
585473.0,5643018.0,-0.6323334502613869,-0.23919801845513644,0.7368437525335113,42.5367587583889,249.27945756511554
585973.0,5637518.0,-0.7416467544949662,-0.26179886234908173,0.6175932700570904,51.85940547635715,250.55713596921953
585973.0,5638018.0,-0.7450640889719817,-0.25483146564909936,0.6163930786758419,51.946786254052384,251.1179662630699
585973.0,5638518.0,-0.7473070876262443,-0.24710294211430883,0.6168243289479048,51.915400797617274,251.70312713068301
585973.0,5639018.0,-0.7468202372461452,-0.238774866009997,0.6206819609119627,51.6340480084138,252.26977779660615
585973.0,5639518.0,-0.7416433162870878,-0.23007859994483823,0.6301023958485747,50.942322479872104,252.7646410280306
585973.0,5640018.0,-0.7298304998908342,-0.2214762382528731,0.6467578506044218,49.702398629936035,253.11891996398344
585973.0,5640518.0,-0.7104106417191598,-0.21381515501471168,0.6705220351473965,47.892631481681235,253.2495695873746
585973.0,5641018.0,-0.6842764968437767,-0.20821736702285784,0.6988642242505174,45.66404856765144,253.07560576029948
585973.0,5641518.0,-0.6541424731915894,-0.20576499998008577,0.7278450312738187,43.29396165943985,252.53867393767098
585973.0,5642018.0,-0.6236667642048231,-0.2072971423662702,0.7537026349914558,41.087862355071074,251.61399474835594
585973.0,5642518.0,-0.5963896526340623,-0.2132825316838822,0.7738410327124922,39.2999255524392,250.32179215533995
585973.0,5643018.0,-0.574878713607003,-0.22365347987959017,0.7870791482305366,38.08661494786049,248.74174352456737
585973.0,5643518.0,-0.5602884627632234,-0.23772121188716266,0.7934516140971185,37.49074963279043,247.00928336831714
586473.0,5636518.0,-0.6913869583254263,-0.26853708300770385,0.6707249129913313,47.87696138608558,248.77365803226326
586473.0,5637018.0,-0.6943860273124262,-0.2624547094667594,0.6700340070115735,47.93031046605963,249.2950834927551
586473.0,5637518.0,-0.6979118871778736,-0.2549939937170218,0.6692511194641833,47.99070787242522,249.92936301448776
586473.0,5638018.0,-0.7009880375720476,-0.24627780630685336,0.6693003909318845,47.98690841946181,250.64211809903532
586473.0,5638518.0,-0.7023378935615867,-0.23642648117991055,0.6714342873761799,47.82213946900265,251.3953347233438
586473.0,5639018.0,-0.7002700639581162,-0.225660877699093,0.6772732135557781,47.36907194846735,252.1385493656128
586473.0,5639518.0,-0.6927257367726414,-0.21446678651448106,0.6885746517952525,46.48261415316687,252.7975582780458
586473.0,5640018.0,-0.6777733239734054,-0.20374267020842163,0.7064787651772583,45.05086460443113,253.2689111976299
586473.0,5640518.0,-0.6546276900969733,-0.19470010868296314,0.7304481193330183,43.076025358252316,253.4364098224445
586473.0,5641018.0,-0.6245547906009434,-0.1885113506774799,0.7578883718616903,40.72160660105683,253.20444412284075
586473.0,5641518.0,-0.5908464017154577,-0.18615271615963794,0.7850144558199457,38.27798473165918,252.5123880652901
586473.0,5642018.0,-0.5579019317317021,-0.1884856115459985,0.8082194063558275,36.07767436478039,251.33260370967446
586473.0,5642518.0,-0.5299545033931552,-0.19612003479966364,0.825036457548085,34.40781226022672,249.69202032214457
586473.0,5643018.0,-0.5099023453952101,-0.20902188217459705,0.8344515869315924,33.441223209344436,247.71003401395228
586473.0,5643518.0,-0.4986857993984131,-0.22626677439824613,0.8367292395284025,33.20366987730701,245.59496306406572
586973.0,5635518.0,-0.6388852034339126,-0.2725217850258471,0.7194147437462858,43.99381828387334,246.898926165239
586973.0,5636018.0,-0.6393758493915165,-0.2692524301408914,0.720209450144957,43.92822426321801,247.163183502553
586973.0,5636518.0,-0.6416257328491561,-0.26402574427933156,0.7201436143600304,43.93366122242461,247.6330817818025
586973.0,5637018.0,-0.6448018692165751,-0.25710908703741,0.7198093267092335,43.96125965820702,248.26079206649194
586973.0,5637518.0,-0.6479831319214985,-0.24863478629991045,0.7199295825195711,43.95133305348125,249.00790995371221
586973.0,5638018.0,-0.6500738303266067,-0.23866378695612436,0.7214177790436382,43.828340707687595,249.84012971195136
586973.0,5638518.0,-0.6496979451947771,-0.2272848578289308,0.7254199979400671,43.49620207114914,250.71855096375373
586973.0,5639018.0,-0.6451317214920423,-0.21477575732817594,0.7332642334034999,42.839251122850236,251.5864874075628
586973.0,5639518.0,-0.6344264510613564,-0.20181380914725688,0.746173079540643,41.740043240224516,252.35390680342311
586973.0,5640018.0,-0.6159334660557195,-0.1895690183605863,0.764649954338841,40.12413954923904,252.89293483308757
586973.0,5640518.0,-0.5892201846268119,-0.17943179170908163,0.7877968051169124,38.019906427865095,253.06323981610421
586973.0,5641018.0,-0.5558722169663,-0.17259350632798595,0.8131528515466095,35.59487264293159,252.75088415682922
586973.0,5641518.0,-0.5195798954948374,-0.17006588650989649,0.837325699141724,33.14121177027241,251.87599258899309
586973.0,5642018.0,-0.4853602273031595,-0.17292841361108366,0.8570421305386214,31.013921829699925,250.38958597200792
586973.0,5642518.0,-0.458123962406681,-0.18209559565986103,0.8700365676855671,29.537110821917445,248.32311653916224
586973.0,5643018.0,-0.4410809252953386,-0.19762106117912087,0.8754390518585781,28.903020073679855,245.86580219853795
586973.0,5643518.0,-0.43480837066318434,-0.2182428552240338,0.8736771354138143,29.11120042483695,243.3466061593747
586973.0,5644018.0,-0.43757453823002423,-0.24170327703657615,0.8660877838663706,29.992850996639774,241.0850334661842
587473.0,5635018.0,-0.583851928972655,-0.2693952622017895,0.7658610303038919,40.01634598119977,245.2309158676378
587473.0,5635518.0,-0.5832906094397092,-0.2682868658481602,0.7666773914449441,39.94354810685041,245.29974375236043
587473.0,5636018.0,-0.5849691428153881,-0.26474229854358056,0.7666306916082161,39.94771547720335,245.64969044233123
587473.0,5636518.0,-0.5879602776486517,-0.2592500083590438,0.7662193844279563,39.98440382997079,246.20582275951938
587473.0,5637018.0,-0.591316939680762,-0.25206557799961377,0.7660334334964101,40.00098134820857,246.91250074612117
587473.0,5637518.0,-0.5940166333522372,-0.24328597485219797,0.7667830030335111,39.93412227185309,247.7279131936657
587473.0,5638018.0,-0.5948852741372043,-0.23294099049092717,0.7693178832991011,39.70732517522406,248.6160320024195
587473.0,5638518.0,-0.5925225694469781,-0.22111657554048617,0.7746124609875571,39.23008984666916,249.5355161428655
587473.0,5639018.0,-0.5852928261226599,-0.2081264427450203,0.7836553397506162,38.403515897046695,250.42493386354136
587473.0,5639518.0,-0.5715027485641391,-0.19469173440473117,0.7971698294203764,37.13931544687399,251.18775273544907
