index,group_,min,max,ave
0,MISSISSIPPIAN,753.0,756.0,754.5
1,UPPER_DEVONIAN,760.0,1050.0,905.0
2,UPPER_ORDOVICIAN,1400.0,1400.0,1400.0
3,MIDDLE_ORDOVICIAN,1420.0,1420.0,1420.0
4,LOWER_ORDOVICIAN,1450.0,1450.0,1450.0
5,UPPER_CAMBRIAN,1610.0,1610.0,1610.0
