WKT	OBJECTID	dip	strike
"POINT (379725.2868999997 7547466.9387)"	"908"	"0.0"	"121.0"
"POINT (368971.9161999999 7545061.8343)"	"909"	"0.0"	"359.0"
"POINT (372786.3202999998 7546182.809)"	"910"	"0.0"	"150.0"
"POINT (381121.2871000003 7527101.0519)"	"911"	"0.0"	"149.0"
"POINT (384083.2056999998 7520696.416)"	"912"	"0.0"	"143.0"
"POINT (383641.7914000005 7524427.0081)"	"913"	"0.0"	"122.0"
"POINT (389147.8607999999 7522101.0027)"	"914"	"0.0"	"150.0"
"POINT (347652.3293000003 7516823.2915)"	"915"	"0.0"	"149.0"
"POINT (364336.7170000002 7516117.7848)"	"916"	"0.0"	"95.0"
"POINT (385779.0811999999 7512470.8354)"	"917"	"0.0"	"103.0"
"POINT (389299.3081 7515103.827)"	"918"	"0.0"	"122.0"
"POINT (356263.6535 7548337.3148)"	"919"	"0.0"	"128.0"
"POINT (392269.9988000002 7610304.9958)"	"920"	"0.0"	"310.0"
"POINT (415786.6298000002 7546642.6151)"	"921"	"90.0"	"131.0"
"POINT (421643.5266000004 7545598.647)"	"922"	"90.0"	"148.0"
"POINT (428323.2834000001 7533511.6379)"	"923"	"90.0"	"143.0"
"POINT (397722.6903999997 7522076.8726)"	"924"	"90.0"	"127.0"
"POINT (397330.4901000001 7521975.9565)"	"925"	"90.0"	"129.0"
"POINT (405987.9199999999 7519049.7959)"	"926"	"90.0"	"22.0"
"POINT (467700.284 7491307.3299)"	"927"	"0.0"	"0.0"
"POINT (351054.4527000003 7559720.0405)"	"928"	"0.0"	"164.0"
"POINT (354986.29 7565839.8042)"	"929"	"0.0"	"118.0"
"POINT (360236.5664999997 7561437.0189)"	"930"	"0.0"	"152.0"
"POINT (356372.9654000001 7554049.4768)"	"931"	"0.0"	"129.0"
"POINT (379189.6895000003 7553676.7392)"	"932"	"0.0"	"149.0"
"POINT (348387.4370999997 7549520.4018)"	"933"	"0.0"	"164.0"
"POINT (381121.2876000004 7527101.0568)"	"934"	"0.0"	"148.0"
"POINT (384083.2095999997 7520696.4117)"	"935"	"0.0"	"143.0"
"POINT (364336.7164000003 7516117.7863)"	"936"	"0.0"	"95.0"
"POINT (389299.3109999998 7515103.8311)"	"937"	"0.0"	"121.0"
"POINT (356263.6511000004 7548337.3129)"	"938"	"0.0"	"128.0"
"POINT (390381.9585999995 7501250.1504)"	"939"	"0.0"	"310.0"
"POINT (358593.5914000003 7510977.0985)"	"940"	"0.0"	"5.0"
"POINT (356984.5235000001 7509799.8059)"	"941"	"0.0"	"55.0"
"POINT (353677.3174000001 7510957.1809)"	"942"	"0.0"	"205.0"
"POINT (396889.9044000003 7475024.0826)"	"943"	"0.0"	"305.0"
"POINT (356940.8229999999 7505753.4259)"	"944"	"0.0"	"16.0"
"POINT (444081.5498000002 7461216.8593)"	"945"	"0.0"	"225.0"
"POINT (358593.5903000003 7510977.098)"	"946"	"0.0"	"5.0"
"POINT (356984.5219000001 7509799.8108)"	"947"	"0.0"	"55.0"
"POINT (353677.3164999997 7510957.1844)"	"948"	"18.0"	"205.0"
"POINT (411212.4561000001 7561637.6289)"	"949"	"0.0"	"90.0"
"POINT (401167.0790999997 7546898.3063)"	"950"	"0.0"	"90.0"
"POINT (407807.8853000002 7537339.8756)"	"951"	"0.0"	"90.0"
"POINT (411896.6798999999 7519546.3807)"	"952"	"0.0"	"90.0"
"POINT (419583.6997999996 7517948.8391)"	"953"	"0.0"	"90.0"
"POINT (362112.9886999996 7488548.9306)"	"954"	"0.0"	"0.0"
"POINT (468730.2344000004 7460898.0355)"	"955"	"30.0"	"99.0"
"POINT (400838.5433 7562303.2078)"	"956"	"70.0"	"96.0"
"POINT (402848.8897000002 7562111.0749)"	"957"	"70.0"	"86.0"
"POINT (403756.1545000002 7560941.7612)"	"958"	"75.0"	"119.0"
"POINT (399507.8964 7556583.6905)"	"959"	"50.0"	"129.0"
"POINT (400613.8032999998 7557149.1272)"	"960"	"60.0"	"130.0"
"POINT (402795.4227999998 7555958.4059)"	"961"	"70.0"	"125.0"
"POINT (405267.4765999997 7553725.9969)"	"962"	"35.0"	"156.0"
"POINT (405137.9956999999 7557460.8078)"	"963"	"75.0"	"334.0"
"POINT (414741.1736000003 7559955.8129)"	"964"	"75.0"	"137.0"
"POINT (413282.5615999997 7556364.4929)"	"965"	"35.0"	"127.0"
"POINT (414885.0672000004 7552925.0232)"	"966"	"35.0"	"136.0"
"POINT (419110.9984999998 7566046.6442)"	"967"	"45.0"	"324.0"
"POINT (420530.3163999999 7563650.8349)"	"968"	"45.0"	"337.0"
"POINT (421170.3650000002 7560603.4547)"	"969"	"40.0"	"108.0"
"POINT (419658.6233000001 7560965.3979)"	"970"	"45.0"	"111.0"
"POINT (419953.9533000002 7545211.8815)"	"971"	"60.0"	"110.0"
"POINT (422249.6775000002 7545292.1659)"	"972"	"60.0"	"108.0"
"POINT (422551.6371999998 7540762.1945)"	"973"	"65.0"	"302.0"
"POINT (417575.5291999998 7540300.5411)"	"974"	"45.0"	"305.0"
"POINT (416642.4452 7540971.9068)"	"975"	"50.0"	"291.0"
"POINT (413281.1223999998 7548157.0054)"	"976"	"70.0"	"139.0"
"POINT (411413.4744999995 7548698.505)"	"977"	"40.0"	"155.0"
"POINT (410545.5741999997 7550304.136)"	"978"	"35.0"	"148.0"
"POINT (410818.5889999997 7551986.1194)"	"979"	"70.0"	"332.0"
"POINT (409133.7276999997 7546250.1357)"	"980"	"70.0"	"157.0"
"POINT (409351.6585999997 7544056.5988)"	"981"	"45.0"	"207.0"
"POINT (411109.3198999995 7542257.6044)"	"982"	"20.0"	"164.0"
"POINT (412908.2792999996 7543575.8456)"	"983"	"30.0"	"257.0"
"POINT (415904.7778000003 7543966.5385)"	"984"	"35.0"	"155.0"
"POINT (413673.2600999996 7539842.3226)"	"985"	"45.0"	"129.0"
"POINT (411672.3815000001 7540645.275)"	"986"	"50.0"	"137.0"
"POINT (415175.9710999997 7542564.2468)"	"987"	"30.0"	"285.0"
"POINT (413527.3661000002 7546550.7142)"	"988"	"60.0"	"89.0"
"POINT (422626.4632999999 7543994.2182)"	"989"	"35.0"	"43.0"
"POINT (406036.1209000004 7549311.2203)"	"990"	"60.0"	"146.0"
"POINT (405808.5204999996 7550369.4996)"	"991"	"50.0"	"136.0"
"POINT (401399.1056000004 7551862.7663)"	"992"	"50.0"	"117.0"
"POINT (400651.8298000004 7551270.3893)"	"993"	"30.0"	"334.0"
"POINT (401207.7370999996 7548676.6677)"	"994"	"40.0"	"311.0"
"POINT (399773.3109999998 7549341.1289)"	"995"	"25.0"	"349.0"
"POINT (398549.6869999999 7549339.6024)"	"996"	"10.0"	"305.0"
"POINT (397399.9639999997 7550960.5434)"	"997"	"15.0"	"340.0"
"POINT (397210.6562999999 7547136.4381)"	"998"	"45.0"	"133.0"
"POINT (403034.1157999998 7547194.5302)"	"999"	"45.0"	"315.0"
"POINT (403886.9055000003 7546182.6703)"	"1000"	"45.0"	"320.0"
"POINT (399521.2456 7539941.6332)"	"1001"	"35.0"	"199.0"
"POINT (399550.3760000002 7542956.3947)"	"1002"	"35.0"	"139.0"
"POINT (400246.6382999998 7545332.9735)"	"1003"	"40.0"	"133.0"
"POINT (412675.8450999996 7558179.9628)"	"1004"	"60.0"	"127.0"
"POINT (403848.6679999996 7548228.4015)"	"1005"	"60.0"	"336.0"
"POINT (417949.1427999996 7550690.7374)"	"1006"	"30.0"	"136.0"
"POINT (417035.1805999996 7544421.6215)"	"1007"	"20.0"	"327.0"
"POINT (418014.6852000002 7542841.0607)"	"1008"	"65.0"	"327.0"
"POINT (423389.4612999996 7564308.1464)"	"1009"	"15.0"	"200.0"
"POINT (422853.2171 7562037.7874)"	"1010"	"70.0"	"328.0"
"POINT (425520.2635000004 7546750.8078)"	"1011"	"60.0"	"130.0"
"POINT (424399.8887 7544682.9231)"	"1012"	"60.0"	"303.0"
"POINT (425509.5970000001 7541960.895)"	"1013"	"50.0"	"127.0"
"POINT (429566.5258999998 7542628.2528)"	"1014"	"60.0"	"133.0"
"POINT (431113.6013000002 7540657.6487)"	"1015"	"55.0"	"152.0"
"POINT (428448.5620999997 7544049.0664)"	"1016"	"50.0"	"297.0"
"POINT (441204.9460000005 7541060.8619)"	"1017"	"0.0"	"338.0"
"POINT (399784.6041999999 7535512.6442)"	"1018"	"50.0"	"310.0"
"POINT (398144.9955000002 7535051.4853)"	"1019"	"20.0"	"178.0"
"POINT (399566.0635000002 7532169.1762)"	"1020"	"80.0"	"290.0"
"POINT (398852.2357999999 7530722.9366)"	"1021"	"45.0"	"145.0"
"POINT (409565.1195 7538337.3303)"	"1022"	"75.0"	"137.0"
"POINT (405137.9694999997 7534688.2773)"	"1023"	"30.0"	"155.0"
"POINT (409827.7844000002 7534080.3295)"	"1024"	"75.0"	"141.0"
"POINT (408887.3174000001 7531302.9287)"	"1025"	"50.0"	"153.0"
"POINT (407399.6054999996 7532788.2769)"	"1026"	"25.0"	"143.0"
"POINT (409329.6398999998 7525968.3329)"	"1027"	"20.0"	"143.0"
"POINT (411459.9129999997 7537861.8117)"	"1028"	"60.0"	"133.0"
"POINT (410124.9072000002 7536610.6199)"	"1029"	"70.0"	"151.0"
"POINT (410262.7092000004 7535374.147)"	"1030"	"75.0"	"323.0"
"POINT (413913.0593999997 7537770.616)"	"1031"	"60.0"	"117.0"
"POINT (414015.6206 7536066.4689)"	"1032"	"60.0"	"139.0"
"POINT (415930.1628 7535696.1162)"	"1033"	"70.0"	"146.0"
"POINT (416136.9965000004 7539207.0238)"	"1034"	"50.0"	"134.0"
"POINT (417178.5552000003 7538481.7653)"	"1035"	"70.0"	"137.0"
"POINT (422769.2507999996 7538387.0056)"	"1036"	"70.0"	"322.0"
"POINT (421420.3827999998 7537623.1424)"	"1037"	"75.0"	"317.0"
"POINT (420238.5939999996 7535055.9146)"	"1038"	"75.0"	"138.0"
"POINT (422125.7279000003 7531589.0193)"	"1039"	"55.0"	"123.0"
"POINT (420047.2737999996 7531364.2457)"	"1040"	"70.0"	"116.0"
"POINT (418907.5290999999 7532086.0356)"	"1041"	"80.0"	"125.0"
"POINT (411847.5093 7534264.5879)"	"1042"	"70.0"	"122.0"
"POINT (413603.2674000002 7530312.6036)"	"1043"	"60.0"	"301.0"
"POINT (417562.0887000002 7528892.6316)"	"1044"	"70.0"	"303.0"
"POINT (416316.8119999999 7526234.8846)"	"1045"	"35.0"	"119.0"
"POINT (412422.8853000002 7532091.795)"	"1046"	"65.0"	"311.0"
"POINT (419014.3646999998 7538405.1707)"	"1047"	"75.0"	"338.0"
"POINT (420407.2938000001 7537146.8717)"	"1048"	"45.0"	"321.0"
"POINT (424591.0946000004 7538727.079)"	"1049"	"75.0"	"325.0"
"POINT (431531.5299000004 7536018.6668)"	"1050"	"70.0"	"331.0"
"POINT (435572.784 7532652.2064)"	"1051"	"50.0"	"306.0"
"POINT (427868.9002999999 7536350.8168)"	"1052"	"35.0"	"317.0"
"POINT (427570.6940000001 7534619.854)"	"1053"	"70.0"	"152.0"
"POINT (424635.8454999998 7535811.3759)"	"1054"	"60.0"	"321.0"
"POINT (423501.6960000005 7535589.3595)"	"1055"	"45.0"	"312.0"
"POINT (425024.4929999998 7534094.5734)"	"1056"	"50.0"	"311.0"
"POINT (423854.0997000001 7532369.7608)"	"1057"	"85.0"	"122.0"
"POINT (425789.1908 7531807.6784)"	"1058"	"80.0"	"137.0"
"POINT (429233.3622000003 7531355.6986)"	"1059"	"50.0"	"348.0"
"POINT (429932.3517000005 7529842.3171)"	"1060"	"65.0"	"326.0"
"POINT (426352.1659000004 7530468.7393)"	"1061"	"70.0"	"133.0"
"POINT (425856.1792000001 7527169.6206)"	"1062"	"65.0"	"145.0"
"POINT (426711.8288000003 7525887.1923)"	"1063"	"60.0"	"147.0"
"POINT (431142.6431999998 7526846.5965)"	"1064"	"80.0"	"135.0"
"POINT (431049.5873999996 7529582.6435)"	"1065"	"50.0"	"314.0"
"POINT (432945.8698000005 7528909.547)"	"1066"	"80.0"	"314.0"
"POINT (426188.3287000004 7537333.7996)"	"1067"	"40.0"	"317.0"
"POINT (441696.2821000004 7538902.5103)"	"1068"	"0.0"	"308.0"
"POINT (445244.2062999997 7531359.3625)"	"1069"	"60.0"	"341.0"
"POINT (443802.9519999996 7528042.4206)"	"1070"	"55.0"	"152.0"
"POINT (443398.2357999999 7524090.1342)"	"1071"	"55.0"	"143.0"
"POINT (439148.3945000004 7531933.0084)"	"1072"	"75.0"	"119.0"
"POINT (437240.3613 7532592.6027)"	"1073"	"80.0"	"301.0"
"POINT (436269.2344000004 7519775.7444)"	"1074"	"30.0"	"219.0"
"POINT (436656.3433999997 7519144.2871)"	"1075"	"15.0"	"202.0"
"POINT (436923.5696 7517142.47)"	"1076"	"30.0"	"247.0"
"POINT (440284.8126999997 7514245.0552)"	"1077"	"50.0"	"104.0"
"POINT (437316.7284000004 7513466.1742)"	"1078"	"25.0"	"168.0"
"POINT (436554.4441 7514825.312)"	"1079"	"30.0"	"154.0"
"POINT (436994.5389999999 7531685.0985)"	"1080"	"65.0"	"294.0"
"POINT (400869.9123999998 7521796.3668)"	"1081"	"5.0"	"141.0"
"POINT (408787.4304 7521053.5376)"	"1082"	"55.0"	"111.0"
"POINT (404254.9402000001 7518807.641)"	"1083"	"60.0"	"125.0"
"POINT (404674.1376999998 7516683.7375)"	"1084"	"30.0"	"168.0"
"POINT (406876.5072999997 7522302.4223)"	"1085"	"45.0"	"118.0"
"POINT (408890.6679999996 7512205.2542)"	"1086"	"75.0"	"339.0"
"POINT (405653.5866999999 7516811.7695)"	"1087"	"45.0"	"12.0"
"POINT (412809.4885999998 7517711.9355)"	"1088"	"55.0"	"121.0"
"POINT (411426.3924000002 7515755.0319)"	"1089"	"30.0"	"226.0"
"POINT (414383.8431000002 7514132.6837)"	"1090"	"50.0"	"110.0"
"POINT (414409.6276000002 7516054.1553)"	"1091"	"50.0"	"109.0"
"POINT (416262.3771000002 7516249.9725)"	"1092"	"25.0"	"70.0"
"POINT (414465.466 7521284.5662)"	"1093"	"75.0"	"321.0"
"POINT (414477.727 7525352.8443)"	"1094"	"40.0"	"146.0"
"POINT (414010.6315000001 7522930.2929)"	"1095"	"30.0"	"90.0"
"POINT (417327.9177999999 7522696.2516)"	"1096"	"35.0"	"142.0"
"POINT (418596.1479000002 7521101.5677)"	"1097"	"0.0"	"149.0"
"POINT (418330.1343 7520019.8804)"	"1098"	"40.0"	"323.0"
"POINT (417353.7805000003 7518967.1481)"	"1099"	"80.0"	"322.0"
"POINT (422137.2198000001 7520385.5397)"	"1100"	"40.0"	"143.0"
"POINT (420162.1151000001 7521844.4959)"	"1101"	"20.0"	"153.0"
"POINT (422333.5538999997 7524284.9144)"	"1102"	"35.0"	"214.0"
"POINT (423088.3377 7519882.6028)"	"1103"	"40.0"	"157.0"
"POINT (424923.2494999999 7517743.6584)"	"1104"	"45.0"	"147.0"
"POINT (423188.3771000002 7516395.4557)"	"1105"	"50.0"	"117.0"
"POINT (423675.9902999997 7512175.1552)"	"1106"	"35.0"	"50.0"
"POINT (426875.9209000003 7512501.2958)"	"1107"	"75.0"	"315.0"
"POINT (425286.0751999998 7514405.2703)"	"1108"	"80.0"	"133.0"
"POINT (427029.3683000002 7514699.1733)"	"1109"	"55.0"	"142.0"
"POINT (428818.7139999997 7513205.3733)"	"1110"	"35.0"	"126.0"
"POINT (431152.1665000003 7513137.865)"	"1111"	"55.0"	"121.0"
"POINT (430193.1146999998 7516001.3195)"	"1112"	"40.0"	"125.0"
"POINT (427831.1092999997 7518576.8567)"	"1113"	"25.0"	"160.0"
"POINT (427156.7505000001 7521458.9956)"	"1114"	"30.0"	"175.0"
"POINT (429079.3717999998 7521708.4687)"	"1115"	"30.0"	"270.0"
"POINT (431228.5521999998 7522478.9569)"	"1116"	"40.0"	"249.0"
"POINT (432645.4566000002 7520525.773)"	"1117"	"30.0"	"215.0"
"POINT (429857.7823999999 7520252.4128)"	"1118"	"25.0"	"247.0"
"POINT (431980.5092000002 7518960.6824)"	"1119"	"30.0"	"256.0"
"POINT (431986.6007000003 7517334.3461)"	"1120"	"45.0"	"151.0"
"POINT (433549.8323999997 7515292.4363)"	"1121"	"40.0"	"142.0"
"POINT (399501.0643999996 7512549.8839)"	"1122"	"85.0"	"108.0"
"POINT (440065.8700999999 7512071.9721)"	"1123"	"80.0"	"137.0"
"POINT (418932.8104999997 7540626.3766)"	"1124"	"70.0"	"323.0"
"POINT (418165.8477999996 7535965.0518)"	"1125"	"70.0"	"130.0"
"POINT (427791.5396999996 7533274.6876)"	"1126"	"60.0"	"311.0"
"POINT (423656.4331999999 7514717.72)"	"1127"	"60.0"	"305.0"
"POINT (420713.1471999995 7522406.5244)"	"1128"	"25.0"	"133.0"
"POINT (398765.0658 7533458.962)"	"1129"	"20.0"	"126.0"
"POINT (409542.7185000004 7527585.1546)"	"1130"	"40.0"	"99.0"
"POINT (401282.0411999999 7519602.4482)"	"1131"	"40.0"	"87.0"
"POINT (416100.1085999999 7516921.5599)"	"1132"	"75.0"	"135.0"
"POINT (429859.8340999996 7539066.5542)"	"1133"	"80.0"	"337.0"
"POINT (410610.2910000002 7556017.4092)"	"1134"	"20.0"	"130.0"
"POINT (408186.2479999997 7549062.4661)"	"1135"	"70.0"	"167.0"
"POINT (405341.9488000004 7536641.2338)"	"1136"	"20.0"	"269.0"
"POINT (404236.4380000001 7550998.5772)"	"1137"	"50.0"	"355.0"
"POINT (402774.5887000002 7551526.122)"	"1138"	"75.0"	"350.0"
"POINT (414933.2023999998 7556190.7631)"	"1139"	"70.0"	"322.0"
"POINT (400731.4791000001 7542866.1229)"	"1140"	"70.0"	"317.0"
"POINT (402314.2598999999 7542214.1119)"	"1141"	"45.0"	"316.0"
"POINT (420862.3553999998 7546890.3059)"	"1142"	"50.0"	"303.0"
"POINT (403316.8645000001 7530313.6519)"	"1143"	"80.0"	"145.0"
"POINT (422632.0891000004 7537048.1677)"	"1144"	"20.0"	"144.0"
"POINT (441013.6283999998 7529703.1611)"	"1145"	"60.0"	"111.0"
"POINT (415385.3596000001 7524367.4525)"	"1146"	"60.0"	"278.0"
"POINT (434066.4101999998 7519958.7678)"	"1147"	"15.0"	"59.0"
"POINT (431061.2192000002 7518671.5812)"	"1148"	"30.0"	"43.0"
"POINT (439360.2823999999 7515359.2039)"	"1149"	"20.0"	"76.0"
"POINT (433409.0695000002 7458638.6479)"	"1150"	"30.0"	"332.0"
"POINT (435242.2207000004 7457705.6914)"	"1151"	"30.0"	"356.0"
"POINT (437259.5109000001 7456849.05)"	"1152"	"70.0"	"151.0"
"POINT (438713.4744999995 7456809.9489)"	"1153"	"30.0"	"336.0"
"POINT (439290.8586999997 7457480.1835)"	"1154"	"30.0"	"340.0"
"POINT (438873.2522 7459044.2149)"	"1155"	"25.0"	"347.0"
"POINT (436519.2717000004 7462755.0931)"	"1156"	"60.0"	"321.0"
"POINT (438274.5321000004 7461591.9989)"	"1157"	"20.0"	"7.0"
"POINT (440433.2461999999 7461236.6438)"	"1158"	"15.0"	"97.0"
"POINT (439688.9391000001 7462028.5412)"	"1159"	"15.0"	"138.0"
"POINT (441366.1423000004 7462693.0647)"	"1160"	"15.0"	"340.0"
"POINT (440747.6337000001 7465627.1026)"	"1161"	"20.0"	"103.0"
"POINT (442849.4765999997 7463757.6374)"	"1162"	"75.0"	"152.0"
"POINT (444603.9111000001 7463032.5228)"	"1163"	"85.0"	"267.0"
"POINT (446327.4304999998 7463525.1323)"	"1164"	"40.0"	"150.0"
"POINT (444450.1782 7459715.2233)"	"1165"	"25.0"	"270.0"
"POINT (444718.3077999996 7462257.9694)"	"1166"	"60.0"	"331.0"
"POINT (444913.7977999998 7460413.2985)"	"1167"	"30.0"	"150.0"
"POINT (447431.7569000004 7461405.8703)"	"1168"	"60.0"	"320.0"
"POINT (417480.1464999998 7457341.4936)"	"1169"	"10.0"	"325.0"
"POINT (416282.2479999997 7459450.9066)"	"1170"	"40.0"	"345.0"
"POINT (417810.5506999996 7460496.7707)"	"1171"	"35.0"	"332.0"
"POINT (415055.7405000003 7461647.0129)"	"1172"	"20.0"	"39.0"
"POINT (415046.7511 7464571.5136)"	"1173"	"15.0"	"144.0"
"POINT (416420.3432999998 7464678.4423)"	"1174"	"5.0"	"332.0"
"POINT (411821.1084000003 7464127.9811)"	"1175"	"50.0"	"268.0"
"POINT (410883.9187000003 7466171.6665)"	"1176"	"30.0"	"359.0"
"POINT (409784.0612000003 7465775.4345)"	"1177"	"25.0"	"65.0"
"POINT (407318.2510000002 7464929.0905)"	"1178"	"15.0"	"68.0"
"POINT (400706.5977999996 7465149.801)"	"1179"	"50.0"	"305.0"
"POINT (398865.1004999997 7466151.9516)"	"1180"	"30.0"	"310.0"
"POINT (400676.1376 7467444.929)"	"1181"	"20.0"	"140.0"
"POINT (401689.9704999998 7468761.1686)"	"1182"	"25.0"	"150.0"
"POINT (401835.2549999999 7470707.2922)"	"1183"	"5.0"	"55.0"
"POINT (402318.2087000003 7471324.8098)"	"1184"	"10.0"	"74.0"
"POINT (399949.5433 7472980.0997)"	"1185"	"10.0"	"90.0"
"POINT (399862.5055 7474370.7429)"	"1186"	"15.0"	"61.0"
"POINT (398042.7302000001 7477573.8546)"	"1187"	"10.0"	"319.0"
"POINT (414579.4654000001 7467092.6442)"	"1188"	"60.0"	"28.0"
"POINT (410875.3366 7467834.2672)"	"1189"	"25.0"	"5.0"
"POINT (413367.6407000003 7463288.4078)"	"1190"	"20.0"	"125.0"
"POINT (413679.5262000002 7466169.0775)"	"1191"	"25.0"	"112.0"
"POINT (402602.1951000001 7474155.0972)"	"1192"	"25.0"	"313.0"
"POINT (404115.6813000003 7472158.4048)"	"1193"	"15.0"	"344.0"
"POINT (405604.2297999999 7471683.8497)"	"1194"	"10.0"	"319.0"
"POINT (399730.3269999996 7477146.8704)"	"1195"	"10.0"	"55.0"
"POINT (400766.1802000003 7474830.1119)"	"1196"	"25.0"	"343.0"
"POINT (404173.1967000002 7468526.017)"	"1197"	"15.0"	"144.0"
"POINT (406861.5826000003 7467373.2876)"	"1198"	"10.0"	"121.0"
"POINT (427146.8907000003 7475488.0192)"	"1199"	"25.0"	"307.0"
"POINT (438346.7962999996 7508009.3739)"	"1200"	"50.0"	"122.0"
"POINT (443346.7896999996 7509495.2927)"	"1201"	"80.0"	"105.0"
"POINT (441114.2492000004 7506358.9278)"	"1202"	"25.0"	"143.0"
"POINT (443661.7835999997 7506285.9742)"	"1203"	"40.0"	"224.0"
"POINT (446948.7253999999 7501814.5683)"	"1204"	"70.0"	"145.0"
"POINT (446051.9754999997 7506836.2958)"	"1205"	"65.0"	"220.0"
"POINT (424371.4490999999 7486418.3718)"	"1206"	"80.0"	"144.0"
"POINT (408721.0872 7466604.1003)"	"1207"	"20.0"	"69.0"
"POINT (445493.8051000005 7504758.8482)"	"1208"	"55.0"	"176.0"
"POINT (425138.4157999996 7509245.375)"	"1209"	"35.0"	"95.0"
"POINT (423384.1555000003 7507877.1638)"	"1210"	"40.0"	"71.0"
"POINT (410809.9873000002 7486302.0328)"	"1211"	"40.0"	"312.0"
"POINT (410539.6544000003 7491632.6563)"	"1212"	"30.0"	"148.0"
"POINT (415017.5948999999 7494885.7267)"	"1213"	"70.0"	"164.0"
"POINT (417419.2641000003 7490940.9969)"	"1214"	"75.0"	"106.0"
"POINT (418138.8737000003 7491870.7215)"	"1215"	"60.0"	"345.0"
"POINT (415234.7867999999 7511382.8026)"	"1216"	"60.0"	"120.0"
"POINT (397943.5148 7501569.9749)"	"1217"	"30.0"	"60.0"
"POINT (401406.9052999998 7500554.2889)"	"1218"	"35.0"	"116.0"
"POINT (399181.7235000003 7502591.9563)"	"1219"	"30.0"	"296.0"
"POINT (409085.1024000002 7488246.6969)"	"1220"	"35.0"	"327.0"
"POINT (407617.8052000003 7492661.7471)"	"1221"	"15.0"	"135.0"
"POINT (405653.6721000001 7493407.6709)"	"1222"	"30.0"	"135.0"
"POINT (406666.1750999996 7496167.9374)"	"1223"	"20.0"	"142.0"
"POINT (407691.4479999999 7494171.5511)"	"1224"	"30.0"	"136.0"
"POINT (406206.9781999998 7494797.1596)"	"1225"	"20.0"	"215.0"
"POINT (411584.3540000003 7508649.506)"	"1226"	"60.0"	"140.0"
"POINT (436137.8509999998 7509391.0745)"	"1227"	"55.0"	"156.0"
"POINT (439679.2731999997 7509478.664)"	"1228"	"70.0"	"133.0"
"POINT (448766.7221999997 7464226.5089)"	"1229"	"60.0"	"115.0"
"POINT (350748.8425000003 7519772.9812)"	"1230"	"17.0"	"356.0"
"POINT (352015.2472999999 7519531.6298)"	"1231"	"12.0"	"338.0"
"POINT (345354.5932999998 7566083.8751)"	"1232"	"40.0"	"165.0"
"POINT (353025.9875999996 7565957.519)"	"1233"	"55.0"	"144.0"
"POINT (355125.2421000004 7566434.5659)"	"1234"	"45.0"	"138.0"
"POINT (356186.4605999999 7563710.3306)"	"1235"	"20.0"	"113.0"
"POINT (368226.6129000001 7566628.146)"	"1236"	"38.0"	"353.0"
"POINT (368177.6574999997 7566034.4058)"	"1237"	"22.0"	"346.0"
"POINT (369787.0247999998 7565971.1182)"	"1238"	"20.0"	"19.0"
"POINT (369080.4768000003 7564708.8039)"	"1239"	"48.0"	"340.0"
"POINT (369211.7609000001 7563624.8003)"	"1240"	"54.0"	"326.0"
"POINT (370003.3190000001 7562782.9822)"	"1241"	"50.0"	"319.0"
"POINT (370180.8519000001 7559903.037)"	"1242"	"65.0"	"332.0"
"POINT (369559.8811999997 7561172.8988)"	"1243"	"85.0"	"322.0"
"POINT (368394.3053000001 7561416.0254)"	"1244"	"20.0"	"52.0"
"POINT (368473.7211999996 7561988.5788)"	"1245"	"45.0"	"114.0"
"POINT (374137.0248999996 7566053.3118)"	"1246"	"36.0"	"130.0"
"POINT (374062.6857000003 7563739.5416)"	"1247"	"42.0"	"140.0"
"POINT (372451.0608000001 7562861.7186)"	"1248"	"30.0"	"147.0"
"POINT (374726.2750000004 7561757.4262)"	"1249"	"50.0"	"346.0"
"POINT (371474.8120999997 7561413.788)"	"1250"	"60.0"	"33.0"
"POINT (371230.2849000003 7560957.2681)"	"1251"	"65.0"	"336.0"
"POINT (371426.9060000004 7562680.0728)"	"1252"	"68.0"	"335.0"
"POINT (382898.7370999996 7563311.2894)"	"1253"	"60.0"	"152.0"
"POINT (389442.477 7560131.7754)"	"1254"	"38.0"	"105.0"
"POINT (390701.1191999996 7560994.1677)"	"1255"	"75.0"	"335.0"
"POINT (395159.8051000005 7561386.7105)"	"1256"	"80.0"	"153.0"
"POINT (395988.9479 7560624.4367)"	"1257"	"75.0"	"146.0"
"POINT (392455.4528999999 7565658.341)"	"1258"	"45.0"	"134.0"
"POINT (352667.8514 7557790.0353)"	"1259"	"80.0"	"171.0"
"POINT (352436.1138000004 7559189.4894)"	"1260"	"80.0"	"163.0"
"POINT (351870.2200999996 7556676.3569)"	"1261"	"30.0"	"184.0"
"POINT (351832.6167000001 7557494.1345)"	"1262"	"35.0"	"261.0"
"POINT (356906.8622000003 7553622.247)"	"1263"	"35.0"	"125.0"
"POINT (357868.7291999999 7552827.3368)"	"1264"	"85.0"	"140.0"
"POINT (359191.0800999999 7557229.6382)"	"1265"	"45.0"	"128.0"
"POINT (358818.8691999996 7556282.7804)"	"1266"	"75.0"	"151.0"
"POINT (359116.6040000003 7554950.5232)"	"1267"	"12.0"	"235.0"
"POINT (358560.2374999998 7554285.2706)"	"1268"	"45.0"	"125.0"
"POINT (368798.1425999999 7557032.5902)"	"1269"	"55.0"	"1.0"
"POINT (370633.9310999997 7557917.4179)"	"1270"	"44.0"	"325.0"
