WKT	OBJECTID	dip	strike
"POINT (331102.4117999999 7587691.3044)"	"85"	"35.0"	"137.0"
"POINT (328144.8480000002 7586043.8271)"	"86"	"44.0"	"142.0"
"POINT (344118.2167999996 7583764.6589)"	"87"	"32.0"	"8.0"
"POINT (341047.2516999999 7576946.1493)"	"88"	"30.0"	"20.0"
"POINT (343592.5584000004 7570226.6046)"	"89"	"25.0"	"2.0"
"POINT (342625.6031999998 7616952.2344)"	"90"	"45.0"	"123.0"
"POINT (341894.0108000003 7617442.741)"	"91"	"60.0"	"136.0"
"POINT (342364.2898000004 7616696.7354)"	"92"	"60.0"	"134.0"
"POINT (342814.4440000001 7616018.7298)"	"93"	"45.0"	"159.0"
"POINT (319467.2938000001 7603064.0839)"	"94"	"85.0"	"179.0"
"POINT (321358.9195999997 7601591.5708)"	"95"	"55.0"	"178.0"
"POINT (320798.5120999999 7602004.5752)"	"96"	"40.0"	"176.0"
"POINT (326253.9495000001 7596642.5279)"	"97"	"20.0"	"131.0"
"POINT (326567.2862 7595442.0271)"	"98"	"52.0"	"177.0"
"POINT (326865.9972999999 7594106.5269)"	"99"	"30.0"	"177.0"
"POINT (342826.1804 7599270.2368)"	"100"	"38.0"	"169.0"
"POINT (342296.0513000004 7594467.2219)"	"101"	"18.0"	"14.0"
"POINT (302653.4943000004 7621303.9553)"	"102"	"20.0"	"162.0"
"POINT (300319.4874 7618806.9467)"	"103"	"14.0"	"11.0"
"POINT (303705.2936000004 7615617.9458)"	"104"	"5.0"	"25.0"
"POINT (316160.3006999996 7612376.5101)"	"105"	"40.0"	"106.0"
"POINT (314012.4323000005 7612738.9985)"	"106"	"22.0"	"129.0"
"POINT (313839.807 7612653.498)"	"107"	"15.0"	"25.0"
"POINT (316115.3893999998 7611785.0115)"	"108"	"4.0"	"104.0"
"POINT (316262.7602000004 7611348.5134)"	"109"	"10.0"	"162.0"
"POINT (317901.0182999996 7609478.0303)"	"110"	"40.0"	"151.0"
"POINT (300776.1246999996 7605487.9413)"	"111"	"15.0"	"13.0"
"POINT (300976.1721999999 7604139.9521)"	"112"	"10.0"	"18.0"
"POINT (299661.0685000001 7601423.9825)"	"113"	"10.0"	"20.0"
"POINT (300630.4982000003 7600966.9914)"	"114"	"5.0"	"81.0"
"POINT (296439.8552999999 7596564.0087)"	"115"	"10.0"	"35.0"
"POINT (307803.9998000003 7609484.4739)"	"116"	"10.0"	"79.0"
"POINT (307659.2696000002 7607860.4787)"	"117"	"5.0"	"67.0"
"POINT (307008.1387 7603004.4954)"	"118"	"10.0"	"53.0"
"POINT (308904.2538999999 7598355.0192)"	"119"	"5.0"	"45.0"
"POINT (316268.7472999999 7603497.5652)"	"120"	"40.0"	"110.0"
"POINT (316821.1601999998 7601580.5845)"	"121"	"25.0"	"92.0"
"POINT (316732.5800999999 7598005.5795)"	"122"	"8.0"	"170.0"
"POINT (315856.6622000001 7614393.5029)"	"123"	"42.0"	"158.0"
"POINT (315115.3191999998 7607011.0337)"	"124"	"40.0"	"152.0"
"POINT (315249.6633000001 7607122.5337)"	"125"	"35.0"	"144.0"
"POINT (341024.6317999996 7575789.6434)"	"126"	"90.0"	"200.0"
"POINT (319178.9380000001 7588306.4744)"	"127"	"10.0"	"272.0"
"POINT (318945.3088999996 7588460.9789)"	"128"	"30.0"	"306.0"
"POINT (316866.6672999999 7588243.9946)"	"129"	"50.0"	"199.0"
"POINT (317131.1100000003 7588062.9887)"	"130"	"42.0"	"190.0"
"POINT (317879.1709000003 7586472.953)"	"131"	"42.0"	"335.0"
"POINT (318389.9029000001 7585809.9372)"	"132"	"20.0"	"340.0"
"POINT (315935.5899999999 7579445.377)"	"133"	"18.0"	"215.0"
"POINT (313020.9205 7578141.389)"	"134"	"15.0"	"191.0"
"POINT (317955.1941 7574524.8356)"	"135"	"10.0"	"325.0"
"POINT (315156.1401000004 7570325.3153)"	"136"	"35.0"	"291.0"
"POINT (317332.4138000002 7591009.0066)"	"137"	"25.0"	"181.0"
"POINT (317613.415 7591000.5049)"	"138"	"28.0"	"190.0"
"POINT (317624.5036000004 7572204.3212)"	"139"	"10.0"	"350.0"
"POINT (319678.6327999998 7587890.4654)"	"140"	"15.0"	"266.0"
"POINT (325923.0990000004 7586722.3894)"	"141"	"13.0"	"243.0"
"POINT (324490.4541999996 7588255.9557)"	"142"	"17.0"	"218.0"
"POINT (324894.3321000002 7588113.4409)"	"143"	"5.0"	"204.0"
"POINT (325326.6931999996 7589653.4562)"	"144"	"10.0"	"200.0"
"POINT (326162.4390000002 7590319.949)"	"145"	"5.0"	"239.0"
