X,Y,Z,angle,lsx,lsy,formation,group
307343.2461000001,7611420.9703,264.,77.18976352521301,0.9751097568462322,0.22172271445046404,AP___pj_ccx,Hamersley_Group
306837.62009999994,7611416.99175,264.,25.871420097252475,0.43635302256815833,0.8997755496209221,AP___pj_ccx,Hamersley_Group
307184.2716000001,7610824.1836,291.,167.96159376514387,-0.20856731131397865,0.9780080146150429,AP___pj_ccx,Hamersley_Group
306932.4555500001,7610450.34545,291.,15.850281016440107,0.273124555046502,0.9619786782619718,AP___pj_ccx,Hamersley_Group
307121.76664999966,7609893.6585,291.,160.83355448513208,-0.32831352934379865,0.9445688045080773,AP___pj_ccx,Hamersley_Group
306646.39820000017,7609258.6206,284.,57.146680306268586,0.840062123650925,0.5424902104251265,AP___pj_ccx,Hamersley_Group
306137.09265,7609300.83285,290.,142.99586697854883,0.6018726310248945,-0.7985920961436891,AP___pj_ccx,Hamersley_Group
306240.30709999986,7609859.10705,290.,37.465545833152646,-0.6082842449423003,-0.7937192686050754,AP___pj_ccx,Hamersley_Group
306205.0578999999,7610634.1526999995,290.,135.00006663683382,0.7071059587981472,-0.7071076035739914,AP___pj_ccx,Hamersley_Group
305701.32140000025,7611455.48365,267.,162.29960821912712,0.3040395750901043,-0.9526594022939304,AP___pj_ccx,Hamersley_Group
305010.5247999998,7613330.32515,270.,157.89079329023647,0.3763731397570553,-0.9264681644122565,AP___pj_ccx,Hamersley_Group
304110.7788,7613898.422900001,270.,73.3005731787684,0.9578253695108517,0.2873509379163398,AP___pj_ccx,Hamersley_Group
303214.01065000007,7614317.289100001,243.,163.28694613825027,0.28757873583537974,-0.9577569998153629,AP___pj_ccx,Hamersley_Group
303151.72860000003,7614968.4458,243.,37.34419624363173,-0.6066018242735771,-0.7950058029901216,AP___pj_ccx,Hamersley_Group
303679.86895000003,7614783.53105,272.,174.66208071777865,-0.09302955402947899,0.9956633477622224,AP___pj_ccx,Hamersley_Group
303990.1675499999,7614474.74185,272.,54.59449253533222,-0.8150721094917257,-0.5793595225149133,AP___pj_ccx,Hamersley_Group
304341.97705000034,7615318.9069,272.,115.46318485895857,0.9028617209440579,-0.4299310559309878,AP___pj_ccx,Hamersley_Group
304297.89914999995,7616028.8982,279.,15.820244452378546,-0.2726202127814193,-0.9621217280484906,AP___pj_ccx,Hamersley_Group
304537.61185,7616786.3313,279.,26.25938233550187,-0.44243554957295717,-0.8968003035648882,AP___pj_ccx,Hamersley_Group
304374.92874999996,7617246.00815,278.,98.41463030691374,0.9892349988451501,-0.14633563154555204,AP___pj_ccx,Hamersley_Group
304009.57594999997,7616631.228399999,279.,19.345420182028445,0.33126246973810125,0.9435386458132032,AP___pj_ccx,Hamersley_Group
303410.0540499999,7616021.1492,268.,96.33761135612629,0.9938887070927707,-0.11038676511910654,AP___pj_ccx,Hamersley_Group
302696.5631499998,7616694.72195,268.,135.41299453104875,0.7019915493167425,-0.71218527413018,AP___pj_ccx,Hamersley_Group
302705.15295,7617188.3683,294.,49.29823586369238,-0.7581142577368998,-0.6521217464676586,AP___pj_ccx,Hamersley_Group
303388.9123499999,7617599.683499999,294.,24.065113779022,-0.40777457878064227,-0.9130826320220256,AP___pj_ccx,Hamersley_Group
304110.4155000001,7618214.87755,278.,74.19950833664541,-0.9622156570177552,-0.272288503962047,AP___pj_ccx,Hamersley_Group
307497.4056500001,7611469.541200001,264.,62.849492964855656,-0.8898108895455532,-0.45632946523991985,P__TAa_kt,Officer_Basin
307840.0812499998,7605846.1251,268.,177.85131747530798,0.037492795077286735,-0.9992968979824227,P__TAa_kt,Officer_Basin
308121.0553000001,7606333.0329,279.,84.78497490579703,-0.9958605971245896,-0.09089373517826138,P__TAa_kt,Officer_Basin
308494.14885,7607053.38445,254.,136.84767687494107,0.6839402807607267,-0.7295379992522243,P__TAa_kt,Officer_Basin
307669.4221999999,7607137.0542,279.,120.57477024026598,0.8609660960540797,-0.5086623452206749,P__TAa_kt,Officer_Basin
307379.3064000001,7607824.382850001,284.,161.7480579121029,0.31319599714223484,-0.9496885107097387,P__TAa_kt,Officer_Basin
307379.16949999984,7608304.4136,284.,170.4317445975976,0.16622243226396438,-0.98608828357924,P__TAa_kt,Officer_Basin
307139.55720000016,7608646.54135,284.,15.240377777912641,-0.26286918489044053,-0.9648314835426108,P__TAa_kt,Officer_Basin
307434.25930000003,7608942.13225,284.,59.482990683775014,-0.8614784502867775,-0.507794131210171,P__TAa_kt,Officer_Basin
308186.9746500002,7608973.31315,284.,49.50286496148246,-0.7604384390071777,-0.6494100249305726,P__TAa_kt,Officer_Basin
308022.8400000003,7609551.49095,291.,155.0277525665056,0.42217922055980994,-0.9065123858654726,P__TAa_kt,Officer_Basin
307715.8455500002,7610362.93415,291.,130.95316648544076,0.7552455900502837,-0.6554419110108834,P__TAa_kt,Officer_Basin
311035.32294999994,7603703.51355,261.,119.74467810296716,0.8682449016280578,-0.4961358592128613,P__TAa_kt,Officer_Basin
332510.18494364445,7586638.95911084,373.,69.322853397128,-0.9355849458733442,-0.3531016978933568,A_FOh_xs_f,Fortescue_Group
305464.9121999997,7604067.9374,293.,94.08525277427576,0.9974591524500922,-0.07124071303365521,AP___pj_ccx,Hamersley_Group
304937.93000000017,7602021.0238499995,289.,129.48245036932374,-0.7718193772077859,0.6358418427302386,AP___pj_ccx,Hamersley_Group
304045.1984000001,7600043.2302,287.,162.7004923849735,0.29736666910171106,-0.9547633550295871,AP___pj_ccx,Hamersley_Group
304332.2095999997,7601314.8203,287.,33.004802251592366,-0.5447093263609339,-0.8386249160234971,AP___pj_ccx,Hamersley_Group
302663.2261000001,7602074.9845,281.,132.65608346308582,0.7354341805774889,-0.6775961673728073,AP___pj_ccx,Hamersley_Group
303355.1756000002,7601117.248,278.,122.6983886340845,-0.8415259751371662,0.5402166539171498,AP___pj_ccx,Hamersley_Group
304751.0027999999,7599700.6753,276.97784,53.47338880843209,-0.803580506749874,-0.5951960762401038,AP___pj_ccx,Hamersley_Group
305106.20050000027,7604137.9279,293.,105.12364086047462,-0.9653650617099248,0.26090285094224847,AP___pj_ccx,Hamersley_Group
306045.28565000044,7606156.054649999,319.,33.27500666642749,-0.5486581732623727,-0.8360467743567919,AP___pj_ccx,Hamersley_Group
300235.8931,7610620.226749999,276.,99.43396064723039,-0.9864751809108883,0.16391069961058102,AP___pj_ccx,Hamersley_Group
300214.68675000034,7610999.705150001,268.,99.75118076804245,0.9855525688451005,-0.1693698144381803,AP___pj_ccx,Hamersley_Group
299806.1972500002,7611438.0956500005,268.,141.27724342591014,0.6255525761321851,-0.7801820136957701,AP___pj_ccx,Hamersley_Group
300241.9137500003,7611692.4936,268.,89.26917542477977,-0.9999186523264882,-0.012754949219012515,AP___pj_ccx,Hamersley_Group
300902.1995000001,7611434.13615,262.,89.26426831684746,-0.999917556259187,-0.012840587395261144,AP___pj_ccx,Hamersley_Group
301417.35369999986,7611573.296949999,262.,122.7351579643784,-0.8411791200643327,0.5407565884645279,AP___pj_ccx,Hamersley_Group
